number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.27153207774337806,2026-06-24 09:19:35.802806,2026-06-24 09:19:38.170142,0 days 00:00:02.367336,,,,,,,,,,,,9,{},COMPLETE
1,0.2794726808852196,2026-06-24 09:19:38.489551,2026-06-24 09:19:44.841518,0 days 00:00:06.351967,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,35,,COMPLETE
2,0.26772660818713456,2026-06-24 09:19:45.066362,2026-06-24 09:19:49.529195,0 days 00:00:04.462833,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,44,,COMPLETE
