number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2859871287696365,2026-06-24 09:20:34.832093,2026-06-24 09:20:36.983916,0 days 00:00:02.151823,,,,,,,,,,,,13,{},COMPLETE
1,0.2904734262125903,2026-06-24 09:20:37.262761,2026-06-24 09:20:45.656731,0 days 00:00:08.393970,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,113,,COMPLETE
2,0.2773441979130834,2026-06-24 09:20:45.801404,2026-06-24 09:20:48.980187,0 days 00:00:03.178783,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,37,,COMPLETE
