Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,2.92  [2.33 - 3.55],5.2%  [2.0% - 10.0%],0.620  [0.497 - 0.736]
combined_lightgbm,3.67  [3.16 - 4.22],9.0%  [5.1% - 14.0%],0.376  [0.279 - 0.474]
combined_catboost,4.49  [3.88 - 5.08],9.6%  [5.5% - 15.0%],0.330  [0.230 - 0.431]
combined_xgboost,5.29  [4.59 - 6.00],12.8%  [7.8% - 18.7%],0.217  [0.143 - 0.304]
baseline_lightgbm,6.00  [5.25 - 6.73],12.9%  [8.1% - 19.4%],0.183  [0.101 - 0.269]
baseline_catboost,6.06  [5.22 - 6.88],11.9%  [7.6% - 17.0%],0.216  [0.122 - 0.320]
embed-only_catboost,6.14  [5.39 - 6.88],14.5%  [9.7% - 20.3%],0.164  [0.088 - 0.256]
embed-only_lightgbm,6.53  [5.84 - 7.18],14.6%  [9.9% - 20.1%],0.104  [0.054 - 0.168]
embed-only_xgboost,6.76  [6.04 - 7.41],14.8%  [9.9% - 20.4%],0.135  [0.064 - 0.222]
baseline_xgboost,7.14  [6.31 - 7.92],17.9%  [12.2% - 25.4%],0.133  [0.066 - 0.213]
