Strategy,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
baseline_tabpfn,🥇 0.620 [0.497 - 0.736],🥇 0.647 [0.515 - 0.771],🥇 0.542 [0.248 - 0.834],🥇 0.703 [0.561 - 0.837],🥈 0.438 [0.190 - 0.690],🥇 0.652 [0.494 - 0.805],🥇 0.574 [0.365 - 0.759]
combined_lightgbm,🥈 0.376 [0.279 - 0.474],🥈 0.420 [0.315 - 0.534],0.248 [0.102 - 0.430],🥈 0.371 [0.257 - 0.482],🥇 0.600 [0.337 - 0.854],🥈 0.351 [0.227 - 0.477],🥉 0.411 [0.290 - 0.549]
combined_catboost,🥉 0.330 [0.230 - 0.431],0.259 [0.153 - 0.372],🥈 0.535 [0.332 - 0.732],🥉 0.271 [0.155 - 0.415],0.215 [0.047 - 0.414],🥉 0.238 [0.130 - 0.370],🥈 0.461 [0.296 - 0.660]
combined_xgboost,0.217 [0.143 - 0.304],0.201 [0.122 - 0.290],0.263 [0.106 - 0.453],0.211 [0.123 - 0.316],0.166 [0.030 - 0.352],0.199 [0.098 - 0.305],0.243 [0.133 - 0.361]
baseline_catboost,0.216 [0.122 - 0.320],🥉 0.289 [0.178 - 0.421],0.005 [0.000 - 0.014],0.267 [0.152 - 0.396],0.371 [0.107 - 0.653],0.222 [0.115 - 0.341],0.209 [0.069 - 0.385]
baseline_lightgbm,0.183 [0.101 - 0.269],0.246 [0.149 - 0.339],0.001 [0.000 - 0.002],0.207 [0.102 - 0.304],🥉 0.390 [0.154 - 0.616],0.238 [0.120 - 0.369],0.105 [0.039 - 0.189]
embed-only_catboost,0.164 [0.088 - 0.256],0.081 [0.018 - 0.160],🥉 0.406 [0.220 - 0.614],0.071 [0.007 - 0.158],0.120 [0.000 - 0.326],0.160 [0.066 - 0.270],0.168 [0.043 - 0.318]
embed-only_xgboost,0.135 [0.064 - 0.222],0.081 [0.023 - 0.157],0.294 [0.090 - 0.513],0.073 [0.017 - 0.151],0.110 [0.000 - 0.331],0.163 [0.054 - 0.276],0.095 [0.010 - 0.201]
baseline_xgboost,0.133 [0.066 - 0.213],0.172 [0.081 - 0.273],0.020 [0.000 - 0.059],0.214 [0.105 - 0.337],0.014 [0.000 - 0.031],0.163 [0.070 - 0.274],0.091 [0.010 - 0.199]
embed-only_lightgbm,0.104 [0.054 - 0.168],0.091 [0.038 - 0.159],0.142 [0.029 - 0.296],0.081 [0.035 - 0.136],0.128 [0.000 - 0.344],0.079 [0.025 - 0.148],0.140 [0.048 - 0.251]
