Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
combined_lightgbm,2.75  [1.50 - 4.25],17.1%  [2.4% - 40.9%],0.600  [0.337 - 0.854]
baseline_lightgbm,3.75  [2.50 - 5.25],16.8%  [2.4% - 41.6%],0.390  [0.154 - 0.616]
baseline_tabpfn,4.25  [2.75 - 5.88],15.5%  [2.0% - 40.4%],0.438  [0.190 - 0.690]
combined_catboost,4.75  [3.38 - 6.12],19.5%  [4.9% - 44.2%],0.215  [0.047 - 0.414]
baseline_catboost,5.00  [2.75 - 7.25],8.9%  [3.7% - 14.7%],0.371  [0.107 - 0.653]
combined_xgboost,6.00  [4.00 - 8.00],27.0%  [6.7% - 54.6%],0.166  [0.030 - 0.352]
embed-only_catboost,6.62  [5.25 - 7.88],24.1%  [7.7% - 49.0%],0.120  [0.000 - 0.326]
embed-only_lightgbm,6.75  [5.50 - 8.00],22.0%  [6.8% - 46.5%],0.128  [0.000 - 0.344]
embed-only_xgboost,7.25  [5.62 - 8.50],23.2%  [7.9% - 47.8%],0.110  [0.000 - 0.331]
baseline_xgboost,7.88  [6.12 - 9.38],31.1%  [9.4% - 61.0%],0.014  [0.000 - 0.031]
