Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
combined_catboost,3.31  [2.31 - 4.46],1.8%  [0.5% - 3.4%],0.535  [0.332 - 0.732]
baseline_tabpfn,3.38  [2.00 - 4.77],0.6%  [0.1% - 1.1%],0.542  [0.248 - 0.834]
embed-only_catboost,3.38  [2.46 - 4.46],2.1%  [0.9% - 3.7%],0.406  [0.220 - 0.614]
combined_lightgbm,4.38  [3.54 - 5.31],2.8%  [1.0% - 5.0%],0.248  [0.102 - 0.430]
combined_xgboost,4.92  [3.69 - 6.31],2.9%  [1.0% - 5.6%],0.263  [0.106 - 0.453]
embed-only_xgboost,5.08  [3.69 - 6.54],3.0%  [1.3% - 5.2%],0.294  [0.090 - 0.513]
embed-only_lightgbm,5.38  [4.38 - 6.46],3.2%  [1.3% - 5.6%],0.142  [0.029 - 0.296]
baseline_catboost,7.85  [6.85 - 8.77],9.4%  [5.2% - 15.2%],0.005  [0.000 - 0.014]
baseline_lightgbm,8.62  [7.85 - 9.08],9.9%  [5.8% - 15.8%],0.001  [0.000 - 0.002]
baseline_xgboost,8.69  [7.38 - 9.62],10.7%  [6.2% - 17.5%],0.020  [0.000 - 0.059]
