Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,3.14  [2.19 - 4.29],3.7%  [0.8% - 7.9%],0.574  [0.365 - 0.759]
combined_lightgbm,3.19  [2.62 - 3.81],5.1%  [1.7% - 9.6%],0.411  [0.290 - 0.549]
combined_catboost,3.81  [2.81 - 4.81],3.1%  [1.6% - 4.6%],0.461  [0.296 - 0.660]
combined_xgboost,4.81  [3.81 - 5.86],8.1%  [2.8% - 15.0%],0.243  [0.133 - 0.361]
embed-only_lightgbm,6.33  [5.24 - 7.38],8.8%  [4.2% - 14.8%],0.140  [0.048 - 0.251]
baseline_catboost,6.38  [5.05 - 7.57],8.2%  [4.4% - 13.4%],0.209  [0.069 - 0.385]
baseline_lightgbm,6.48  [5.57 - 7.29],9.4%  [5.5% - 14.4%],0.105  [0.039 - 0.189]
embed-only_catboost,6.57  [5.38 - 7.71],9.0%  [4.4% - 14.6%],0.168  [0.043 - 0.318]
embed-only_xgboost,6.67  [5.67 - 7.62],8.8%  [4.4% - 14.4%],0.095  [0.010 - 0.201]
baseline_xgboost,7.62  [6.43 - 8.71],14.2%  [7.9% - 22.1%],0.091  [0.010 - 0.199]
