Strategy,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
baseline_tabpfn,🥇 2.92 [2.33 - 3.55],🥇 2.76 [2.13 - 3.45],🥈 3.38 [2.00 - 4.77],🥇 2.37 [1.73 - 3.07],🥉 4.25 [2.75 - 5.88],🥇 2.77 [2.00 - 3.57],🥇 3.14 [2.19 - 4.29]
combined_lightgbm,🥈 3.67 [3.16 - 4.22],🥈 3.42 [2.82 - 4.03],🥉 4.38 [3.54 - 5.31],🥈 3.60 [2.97 - 4.23],🥇 2.75 [1.50 - 4.25],🥈 4.00 [3.33 - 4.70],🥈 3.19 [2.62 - 3.81]
combined_catboost,🥉 4.49 [3.88 - 5.08],🥉 4.89 [4.13 - 5.61],🥇 3.31 [2.31 - 4.46],🥉 4.93 [4.07 - 5.73],4.75 [3.38 - 6.12],🥉 4.97 [4.17 - 5.70],🥉 3.81 [2.81 - 4.81]
combined_xgboost,5.29 [4.59 - 6.00],5.42 [4.61 - 6.24],4.92 [3.69 - 6.31],5.27 [4.43 - 6.13],6.00 [4.00 - 8.00],5.63 [4.70 - 6.60],4.81 [3.81 - 5.86]
baseline_lightgbm,6.00 [5.25 - 6.73],5.11 [4.45 - 5.87],8.62 [7.85 - 9.08],5.47 [4.67 - 6.30],🥈 3.75 [2.50 - 5.25],5.67 [4.60 - 6.67],6.48 [5.57 - 7.29]
baseline_catboost,6.06 [5.22 - 6.88],5.45 [4.42 - 6.45],7.85 [6.85 - 8.77],5.57 [4.50 - 6.60],5.00 [2.75 - 7.25],5.83 [4.80 - 6.90],6.38 [5.05 - 7.57]
embed-only_catboost,6.14 [5.39 - 6.88],7.08 [6.34 - 7.79],🥈 3.38 [2.46 - 4.46],7.20 [6.37 - 7.97],6.62 [5.25 - 7.88],5.83 [4.93 - 6.73],6.57 [5.38 - 7.71]
embed-only_lightgbm,6.53 [5.84 - 7.18],6.92 [6.11 - 7.66],5.38 [4.38 - 6.46],6.97 [6.07 - 7.80],6.75 [5.50 - 8.00],6.67 [5.80 - 7.50],6.33 [5.24 - 7.38]
embed-only_xgboost,6.76 [6.04 - 7.41],7.34 [6.60 - 8.03],5.08 [3.69 - 6.54],7.37 [6.50 - 8.13],7.25 [5.62 - 8.50],6.83 [5.87 - 7.77],6.67 [5.67 - 7.62]
baseline_xgboost,7.14 [6.31 - 7.92],6.61 [5.66 - 7.61],8.69 [7.38 - 9.62],6.27 [5.23 - 7.40],7.88 [6.12 - 9.38],6.80 [5.63 - 8.00],7.62 [6.43 - 8.71]
