Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,2.76  [2.13 - 3.45],6.8%  [2.6% - 13.1%],0.647  [0.515 - 0.771]
combined_lightgbm,3.42  [2.82 - 4.03],11.1%  [6.1% - 17.4%],0.420  [0.315 - 0.534]
combined_catboost,4.89  [4.13 - 5.61],12.2%  [7.2% - 19.2%],0.259  [0.153 - 0.372]
baseline_lightgbm,5.11  [4.45 - 5.87],13.9%  [7.9% - 21.5%],0.246  [0.149 - 0.339]
combined_xgboost,5.42  [4.61 - 6.24],16.2%  [9.8% - 23.6%],0.201  [0.122 - 0.290]
baseline_catboost,5.45  [4.42 - 6.45],12.7%  [7.6% - 18.6%],0.289  [0.178 - 0.421]
baseline_xgboost,6.61  [5.66 - 7.61],20.4%  [12.9% - 28.9%],0.172  [0.081 - 0.273]
embed-only_lightgbm,6.92  [6.11 - 7.66],18.5%  [12.8% - 25.2%],0.091  [0.038 - 0.159]
embed-only_catboost,7.08  [6.34 - 7.79],18.8%  [12.7% - 25.8%],0.081  [0.018 - 0.160]
embed-only_xgboost,7.34  [6.60 - 8.03],18.8%  [13.1% - 25.7%],0.081  [0.023 - 0.157]
