Strategy,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
baseline_tabpfn,🥇 1.63 [1.41 - 1.84],🥇 1.55 [1.34 - 1.79],🥇 1.85 [1.31 - 2.38],🥇 1.40 [1.20 - 1.67],🥈 2.12 [1.62 - 2.62],🥇 1.47 [1.23 - 1.73],🥇 1.86 [1.48 - 2.29]
combined_lightgbm,🥈 2.02 [1.84 - 2.20],🥈 1.95 [1.74 - 2.13],🥉 2.23 [1.92 - 2.54],🥈 2.07 [1.87 - 2.27],🥇 1.50 [1.12 - 2.00],🥈 2.07 [1.80 - 2.33],🥈 1.95 [1.76 - 2.14]
combined_catboost,🥉 2.35 [2.14 - 2.57],🥉 2.50 [2.24 - 2.74],🥈 1.92 [1.46 - 2.38],🥉 2.53 [2.23 - 2.80],🥉 2.38 [1.88 - 2.75],🥉 2.47 [2.20 - 2.70],🥉 2.19 [1.76 - 2.57]
