dataset,task_type,dataset_samples_count,mode_algorithm,eval_primary_value
fitness_club,binary,1500,combined_lightgbm,0.2000630947999369
food_delivery_time,regression,45451,baseline_tabpfn,7.406528158962125
food_delivery_time,regression,45451,combined_catboost,7.303375450343187
food_delivery_time,regression,45451,combined_lightgbm,7.29944580988175
givemesomecredit,binary,150000,baseline_tabpfn,0.1252634532618267
givemesomecredit,binary,150000,combined_catboost,0.1265462259692793
givemesomecredit,binary,150000,combined_lightgbm,0.1264523367416429
hazelnut-spread-contaminant-detection,binary,2400,baseline_tabpfn,0.0028993055555555
hazelnut-spread-contaminant-detection,binary,2400,combined_catboost,0.0115277777777778
hazelnut-spread-contaminant-detection,binary,2400,combined_lightgbm,0.0085937499999999
healthcare_insurance_expenses,regression,1338,baseline_tabpfn,3491.62800426432
healthcare_insurance_expenses,regression,1338,combined_catboost,3573.933970459071
healthcare_insurance_expenses,regression,1338,combined_lightgbm,3542.175967455131
heloc,binary,10459,baseline_tabpfn,0.1908063186813188
heloc,binary,10459,combined_catboost,0.1963118131868131
heloc,binary,10459,combined_lightgbm,0.1919084249084249
hiva_agnostic,multiclass,3845,baseline_tabpfn,0.1799557261900017
hiva_agnostic,multiclass,3845,combined_catboost,0.1802148763254918
hiva_agnostic,multiclass,3845,combined_lightgbm,0.1719542134730627
houses,regression,20640,baseline_tabpfn,0.1761687030418292
houses,regression,20640,combined_catboost,0.1772155409197353
houses,regression,20640,combined_lightgbm,0.1769905199685653
hr_analytics_job_change_of_data_scientists,binary,19158,baseline_tabpfn,0.2034192467065935
hr_analytics_job_change_of_data_scientists,binary,19158,combined_catboost,0.2158380148023592
hr_analytics_job_change_of_data_scientists,binary,19158,combined_lightgbm,0.211889384484638
in_vehicle_coupon_recommendation,binary,12684,baseline_tabpfn,0.1297034813393371
in_vehicle_coupon_recommendation,binary,12684,combined_catboost,0.1432038834951454
in_vehicle_coupon_recommendation,binary,12684,combined_lightgbm,0.1398881563531118
is-this-a-good-customer,binary,1723,baseline_tabpfn,0.2248198424669012
is-this-a-good-customer,binary,1723,combined_catboost,0.2376403552874141
is-this-a-good-customer,binary,1723,combined_lightgbm,0.257583375230434
jm1,binary,10885,baseline_tabpfn,0.2203148756350808
jm1,binary,10885,combined_catboost,0.2386368555181014
jm1,binary,10885,combined_lightgbm,0.2346464649197321
kddcup09_appetency,binary,50000,baseline_tabpfn,0.1837053484610333
kddcup09_appetency,binary,50000,combined_catboost,0.1727942774647147
kddcup09_appetency,binary,50000,combined_lightgbm,0.1814048490089891
marketing_campaign,binary,2240,baseline_tabpfn,0.0998942296392054
marketing_campaign,binary,2240,combined_catboost,0.1005406040662827
marketing_campaign,binary,2240,combined_lightgbm,0.0922356720335331
maternal_health_risk,multiclass,1014,baseline_tabpfn,0.3257780531886837
maternal_health_risk,multiclass,1014,combined_catboost,0.3993829424711606
maternal_health_risk,multiclass,1014,combined_lightgbm,0.4048124860253289
miami_housing,regression,13776,baseline_tabpfn,80937.77470144341
miami_housing,regression,13776,combined_catboost,78983.38728155308
miami_housing,regression,13776,combined_lightgbm,80665.2553242765
mic,multiclass,1699,baseline_tabpfn,0.4552343217032848
mic,multiclass,1699,combined_catboost,0.4470070663408204
mic,multiclass,1699,combined_lightgbm,0.4492768435681904
naticusdroid,binary,7491,baseline_tabpfn,0.0105319252957856
naticusdroid,binary,7491,combined_catboost,0.0158570450767576
naticusdroid,binary,7491,combined_lightgbm,0.0135083602229393
online_shoppers_intention,binary,12330,baseline_tabpfn,0.0607357478067751
online_shoppers_intention,binary,12330,combined_catboost,0.0635520193747424
online_shoppers_intention,binary,12330,combined_lightgbm,0.0619353639296158
physiochemical_protein,regression,45730,baseline_tabpfn,2.826860212970685
physiochemical_protein,regression,45730,combined_catboost,2.814966487720705
physiochemical_protein,regression,45730,combined_lightgbm,2.822314795859768
polish_companies_bankruptcy,binary,5910,baseline_tabpfn,0.0171951219512194
