,baseline_tabpfn,combined_lightgbm,combined_catboost
baseline_tabpfn,,64.70588235294117,72.54901960784314
combined_lightgbm,35.294117647058826,,62.745098039215684
combined_catboost,27.450980392156865,37.254901960784316,
