Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,1.63  [1.41 - 1.84],4.1%  [1.3% - 8.2%],0.588  [0.451 - 0.706]
combined_lightgbm,2.02  [1.84 - 2.20],6.2%  [3.6% - 9.6%],0.196  [0.098 - 0.295]
combined_catboost,2.35  [2.14 - 2.57],8.4%  [4.5% - 13.4%],0.216  [0.118 - 0.333]
