Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,1.85  [1.31 - 2.38],0.6%  [0.1% - 1.1%],0.538  [0.231 - 0.846]
combined_catboost,1.92  [1.46 - 2.38],1.8%  [0.5% - 3.4%],0.385  [0.154 - 0.692]
combined_lightgbm,2.23  [1.92 - 2.54],2.7%  [1.0% - 5.0%],0.077  [0.000 - 0.231]
