Strategy,Average Rank (95% Bootstrap CI),Improvability % (95% Bootstrap CI),Norm Score (95% Bootstrap CI)
baseline_tabpfn,1.47  [1.23 - 1.73],4.6%  [0.7% - 11.5%],0.667  [0.500 - 0.833]
combined_lightgbm,2.07  [1.80 - 2.33],7.3%  [3.4% - 12.6%],0.233  [0.100 - 0.400]
combined_catboost,2.47  [2.20 - 2.70],12.5%  [6.3% - 20.8%],0.100  [0.000 - 0.233]
