Strategy,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
baseline_tabpfn,🥇 0.588 [0.451 - 0.706],🥇 0.605 [0.447 - 0.737],🥇 0.538 [0.231 - 0.846],🥇 0.700 [0.533 - 0.833],🥈 0.250 [0.000 - 0.500],🥇 0.667 [0.500 - 0.833],🥇 0.476 [0.238 - 0.667]
combined_catboost,🥈 0.216 [0.118 - 0.333],🥉 0.158 [0.053 - 0.289],🥈 0.385 [0.154 - 0.692],🥈 0.167 [0.067 - 0.300],🥉 0.125 [0.000 - 0.375],🥉 0.100 [0.000 - 0.233],🥈 0.381 [0.190 - 0.619]
combined_lightgbm,🥉 0.196 [0.098 - 0.295],🥈 0.237 [0.105 - 0.395],🥉 0.077 [0.000 - 0.231],🥉 0.133 [0.033 - 0.267],🥇 0.625 [0.250 - 0.875],🥈 0.233 [0.100 - 0.400],🥉 0.143 [0.000 - 0.286]
