Strategy,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
baseline_tabpfn,🥇 4.1% [1.3% - 8.2%],🥇 5.2% [1.5% - 10.8%],🥇 0.6% [0.1% - 1.1%],🥇 3.3% [1.2% - 6.3%],🥈 12.5% [1.0% - 34.4%],🥇 4.6% [0.7% - 11.5%],🥈 3.3% [0.8% - 7.0%]
combined_lightgbm,🥈 6.2% [3.6% - 9.6%],🥈 7.4% [3.9% - 11.9%],🥉 2.7% [1.0% - 5.0%],🥈 8.3% [4.3% - 13.7%],🥇 3.6% [0.1% - 9.5%],🥈 7.3% [3.4% - 12.6%],🥉 4.6% [1.7% - 9.0%]
combined_catboost,🥉 8.4% [4.5% - 13.4%],🥉 10.6% [5.8% - 17.2%],🥈 1.8% [0.5% - 3.4%],🥉 9.1% [4.6% - 14.8%],🥉 16.4% [3.1% - 38.2%],🥉 12.5% [6.3% - 20.8%],🥇 2.6% [1.2% - 4.0%]
