dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,primary_metric,tabpfn_primary_score,eval_primary_value,eval_primary_delta,eval_primary_delta_pct,secondary_metric,tabpfn_secondary_score,eval_secondary_value,eval_secondary_delta,eval_secondary_delta_pct,optimal_trees,tuning_completed,tuning_best_idx,tuning_val_score_0,tuning_val_score_best,tuning_overall_gain,tuning_gain_pct,eval_overfitting_ratio,feat_share_embedded_pct,feat_share_raw_pct,feat_active_embedded_pct,feat_active_raw_pct,feat_cr5_pct,feat_cr10_pct,time_train_secs,time_infer_secs,time_train_secs_per_1K,time_infer_secs_per_1K,time_tuning_search_secs,time_total_secs
churn,binary,catboost,combined,5000,19,20,39,1-AUROC,0.08595678630107573,0.07440616253436705,-0.011550623766708679,-13.437710114302082,Accuracy,0.973,0.974,0.0010000000000000009,0.1027749229188079,100,3,0,0.06192653017906857,0.06192653017906857,0.0,0.0,1.2015231972340772,84.34357376310169,15.656426236898296,100.0,100.0,56.792342711721034,71.26840630036835,1.0746006965637207,0.01968693733215332,0.2686501741409302,0.01968693733215332,17.527105569839478,23.27009415626526
churn,binary,catboost,embed-only,5000,19,20,20,1-AUROC,0.08595678630107573,0.07670968221336039,-0.009247104087715341,-10.757852271635725,Accuracy,0.973,0.973,0.0,0.0,400,3,2,0.057940398666733395,0.05705480375067673,0.0008855949160566645,1.5284584442549423,1.3444912114424814,100.0,0.0,100.0,0.0,56.40831639234826,74.6043910843344,0.819446325302124,0.011672496795654297,0.204861581325531,0.011672496795654297,13.865933418273926,19.608253002166748
churn,binary,catboost,raw-only,5000,19,20,19,1-AUROC,0.08595678630107573,0.07870771720374181,-0.007249069097333916,-8.43338776294292,Accuracy,0.973,0.96,-0.013000000000000012,-1.3360739979445027,100,3,0,0.07336962224368049,0.07336962224368049,0.0,0.0,1.0727562006838751,0.0,99.99999999999997,0.0,94.73684210526315,65.4661915497966,89.6612297360644,0.6670231819152832,0.0052356719970703125,0.1667557954788208,0.0052356719970703125,23.35199546813965,29.007508993148804
churn,binary,lightgbm,combined,5000,19,20,39,1-AUROC,0.08595678630107573,0.08557699452604461,-0.00037979177503111305,-0.44184036115640596,Accuracy,0.973,0.972,-0.0010000000000000009,-0.1027749229188079,114,3,0,0.05771567770585129,0.05771567770585129,0.0,0.0,1.4827339455700217,92.31108385543627,7.688916144563724,100.0,89.47368421052632,77.91418899993617,84.80363787566651,0.3268868923187256,0.004784584045410156,0.0817217230796814,0.004784584045410156,35.8645658493042,41.67192077636719
churn,binary,lightgbm,embed-only,5000,19,20,20,1-AUROC,0.08595678630107573,0.08031770407615646,-0.005639082224919267,-6.5603688406492875,Accuracy,0.973,0.974,0.0010000000000000009,0.1027749229188079,946,3,1,0.05257053365348485,0.049546694979875516,0.003023838673609336,5.751964957291029,1.6210506898346957,100.0,0.0,100.0,0.0,80.52378083044286,88.60971293066858,1.7048890590667725,0.011516809463500977,0.4262222647666931,0.011516809463500977,22.617589950561523,29.473576068878174
churn,binary,lightgbm,raw-only,5000,19,20,19,1-AUROC,0.08595678630107573,0.09964580288806868,0.013689016586992953,15.92546345211796,Accuracy,0.973,0.95,-0.02300000000000002,-2.3638232271325816,119,3,0,0.07522192037136355,0.07522192037136355,0.0,0.0,1.3246910261812876,0.0,99.99999999999999,0.0,89.47368421052632,70.53661891313564,90.78754768019945,0.21335101127624512,0.0046367645263671875,0.05333775281906128,0.0046367645263671875,10.862385511398315,15.979122400283813
churn,binary,xgboost,combined,5000,19,20,39,1-AUROC,0.08595678630107573,0.07930217389509486,-0.006654612405980864,-7.741811545480713,Accuracy,0.973,0.973,0.0,0.0,411,3,2,0.055927791364656754,0.05320638227369312,0.0027214090909636335,4.865933419790671,1.4904635591866637,90.56143367200801,9.438566327992026,100.0,100.0,74.48987178506859,81.20358652220744,0.37467503547668457,0.004014492034912109,0.09366875886917114,0.004014492034912109,43.85785245895386,48.852341413497925
churn,binary,xgboost,embed-only,5000,19,20,20,1-AUROC,0.08595678630107573,0.08526325349449715,-0.0006935328065785784,-0.8068389203725955,Accuracy,0.973,0.971,-0.0020000000000000018,-0.2055498458376158,77,3,0,0.04662722295173982,0.04662722295173982,0.0,0.0,1.828615304470233,99.99999999999999,0.0,100.0,0.0,79.87700774027776,88.96526128846261,0.23280000686645508,0.0015442371368408203,0.05820000171661377,0.0015442371368408203,42.837416648864746,48.00460934638977
churn,binary,xgboost,raw-only,5000,19,20,19,1-AUROC,0.08595678630107573,0.10684946209925772,0.020892675798181992,24.306022476227135,Accuracy,0.973,0.953,-0.020000000000000018,-2.0554984583761584,15,3,0,0.0727224924600457,0.0727224924600457,0.0,0.0,1.4692766774730892,0.0,100.00000000000001,0.0,89.47368421052632,74.25890621755791,95.41090515303901,0.08952999114990234,0.0032033920288085938,0.022382497787475586,0.0032033920288085938,18.39657974243164,23.70606231689453
mic,multiclass,catboost,combined,1699,111,30,141,Log_Loss,0.45523432170328487,0.4873920909417368,0.03215776923845193,7.06400368015571,Accuracy,0.888235294117647,0.8941176470588236,0.005882352941176561,0.6622516556291492,211,3,2,0.5064334716598597,0.49626992324800984,0.01016354841184991,2.0068871787914015,0.9821108798047462,49.89310993237189,50.106890067628115,100.0,80.18018018018019,21.815347818444724,32.070884867021434,1.7841155529022217,0.019321441650390625,1.3128149763813257,0.05682776955997242,237.49632859230042,243.56148767471313
mic,multiclass,catboost,embed-only,1699,111,30,30,Log_Loss,0.45523432170328487,0.4948944885360504,0.03966016683276552,8.712033548871002,Accuracy,0.888235294117647,0.8794117647058823,-0.008823529411764675,-0.9933774834437051,100,3,0,0.5120873466978634,0.5120873466978634,0.0,0.0,0.9664259266067026,100.0,0.0,100.0,0.0,43.73295512416926,60.18815996183035,2.604482889175415,0.013149261474609375,1.916470117126869,0.038674298454733455,40.72403597831726,48.3275580406189
mic,multiclass,catboost,raw-only,1699,111,30,111,Log_Loss,0.45523432170328487,0.4735407866303171,0.01830646492703225,4.021327930314564,Accuracy,0.888235294117647,0.8852941176470588,-0.002941176470588225,-0.33112582781456834,100,3,0,0.5182655883699627,0.5182655883699627,0.0,0.0,0.9137029300357119,0.0,99.99999999999999,0.0,40.54054054054054,39.384945255139556,60.13117265999419,26.333868265151978,0.026279926300048828,19.377386508573935,0.07729390088249655,199.31930303573608,230.03694987297058
