feature_name,raw_gain,percentage_share
molecule_structure_property_1425,2.02554314908672,2.0255431490867193
molecule_structure_property_68,0.8820848908644691,0.8820848908644686
molecule_structure_property_454,0.7891752445843103,0.7891752445843099
molecule_structure_property_1402,0.7064362845347406,0.7064362845347402
molecule_structure_property_1219,0.6521822524141747,0.6521822524141743
molecule_structure_property_1459,0.5699012899913377,0.5699012899913374
molecule_structure_property_348,0.5439599945400837,0.5439599945400834
molecule_structure_property_137,0.5239063785137389,0.5239063785137386
molecule_structure_property_1168,0.5077243181019325,0.5077243181019322
molecule_structure_property_679,0.506826396318008,0.5068263963180076
molecule_structure_property_1305,0.4888649221937602,0.48886492219375993
molecule_structure_property_244,0.48652259141161497,0.48652259141161475
molecule_structure_property_213,0.47095623254801616,0.4709562325480159
molecule_structure_property_412,0.4624223929167911,0.4624223929167909
molecule_structure_property_252,0.4587202882211926,0.4587202882211924
molecule_structure_property_1136,0.44823322580440494,0.44823322580440467
molecule_structure_property_1463,0.44706913308300816,0.44706913308300794
molecule_structure_property_846,0.4406536417874244,0.4406536417874241
molecule_structure_property_266,0.41598662951990567,0.41598662951990545
molecule_structure_property_170,0.4127278122903184,0.41272781229031813
molecule_structure_property_259,0.39998872573168864,0.3999887257316885
molecule_structure_property_1103,0.3981653759069265,0.3981653759069263
molecule_structure_property_512,0.3858665465034385,0.38586654650343827
molecule_structure_property_918,0.374517592041269,0.3745175920412688
molecule_structure_property_1496,0.3682252547516543,0.3682252547516541
molecule_structure_property_951,0.3603833046846887,0.36038330468468854
molecule_structure_property_710,0.360247424941255,0.3602474249412548
molecule_structure_property_644,0.3585684859943907,0.35856848599439045
molecule_structure_property_325,0.35672783765165267,0.35672783765165245
molecule_structure_property_746,0.3497358940417729,0.3497358940417727
molecule_structure_property_58,0.32753835039906104,0.3275383503990609
molecule_structure_property_261,0.324701818314598,0.32470181831459777
molecule_structure_property_109,0.31412834662287564,0.3141283466228755
molecule_structure_property_669,0.313784123773965,0.3137841237739648
molecule_structure_property_1340,0.2974878815377724,0.2974878815377722
molecule_structure_property_193,0.2935645672417861,0.2935645672417859
molecule_structure_property_700,0.2905126080064305,0.2905126080064303
molecule_structure_property_943,0.2870261953311445,0.2870261953311443
molecule_structure_property_1587,0.28622505709207874,0.28622505709207857
molecule_structure_property_592,0.2860444282973658,0.28604442829736565
molecule_structure_property_1478,0.2853680360685472,0.28536803606854705
molecule_structure_property_631,0.283986595900887,0.2839865959008868
