Algorithm,Gap Correlation (Spearman),Gap P-Value,Multiplier Correlation (Spearman),Multiplier P-Value
Overall (All Frameworks),-0.381,0.0000,-0.415,0.0000
XGBoost,-0.465,0.0006,-0.496,0.0002
LightGBM,-0.331,0.0178,-0.373,0.0071
CatBoost,-0.325,0.0198,-0.372,0.0071
