Algorithm,Gap Correlation (Spearman),Gap P-Value,Multiplier Correlation (Spearman),Multiplier P-Value
Overall (All Frameworks),0.602,0.0000,0.600,0.0000
XGBoost,0.649,0.0000,0.641,0.0000
LightGBM,0.611,0.0000,0.578,0.0000
CatBoost,0.590,0.0000,0.606,0.0000
