feature_name,raw_gain,percentage_share
pca_embed_0,7736.715157582716,5.974385339560364
pca_embed_4,4209.237030375998,3.2504239192993842
pca_embed_9,3686.6463451589225,2.846873049872365
pca_embed_3,3616.2824837945227,2.7925372221718563
pca_embed_2,3503.4360249778256,2.705395817138351
pca_embed_37,3215.0055930214003,2.4826663371115933
pca_embed_10,3008.523685888911,2.323218502503419
pca_embed_28,2803.51654960036,2.1649095038391524
pca_embed_1,2702.3249565513106,2.0867681275980385
pca_embed_5,2650.231369623216,2.046540827550254
pca_embed_11,2630.909842312103,2.031620509669313
pca_embed_7,2571.974344416376,1.9861098029370343
pca_embed_56,2473.9375272647085,1.9104045829310954
pca_embed_52,2469.4512274731915,1.9069402077851338
pca_embed_13,2377.3996187699668,1.8358568383811966
pca_embed_45,2355.826822585572,1.8191980633542972
pca_embed_22,2343.0633657518883,1.8093419670865505
pca_embed_43,2226.8658820786513,1.719612859989878
pca_embed_8,2225.836823506368,1.7188182084714263
pca_embed_42,2186.7539466171293,1.6886379366171549
pca_embed_6,2156.3414534895564,1.6651530403297723
pca_embed_12,2156.301626820932,1.665122285692913
pca_embed_26,2123.0524187595583,1.639446843706507
pca_embed_14,2104.87774489203,1.6254121399732269
pca_embed_15,2060.6396284042858,1.5912509295356023
pca_embed_47,2031.658009345324,1.5688709715694769
pca_embed_46,2008.014767565095,1.550613373325985
pca_embed_32,2007.7718672402552,1.5504258027472395
pca_embed_55,1974.1564782585483,1.524467591410081
pca_embed_27,1972.9563935133629,1.5235408714052945
pca_embed_29,1922.0637197510805,1.4842409310787585
pca_embed_53,1911.0241568114943,1.475716046597678
pca_embed_24,1910.293091433472,1.4751515090403613
pca_embed_16,1890.5690542503144,1.4599203681512585
pca_embed_34,1853.033015245761,1.430934583284385
pca_embed_35,1798.8234690899262,1.3890733138410842
pca_embed_38,1788.0985735739814,1.3807914193634288
pca_embed_17,1787.6847748353084,1.3804718789554518
pca_embed_33,1761.2311286811018,1.360044052346544
pca_embed_49,1749.101249824118,1.350677212681679
pca_embed_19,1743.4341292551544,1.3463009934006118
pca_embed_25,1736.268354875967,1.3407674954592206
pca_embed_20,1722.0032934973715,1.3297518419380125
pca_embed_21,1718.5826370956784,1.3271103695506108
pca_embed_39,1717.124756118399,1.3259845761667164
pca_embed_44,1713.2132474060636,1.3229640616679197
pca_embed_54,1702.0809915905775,1.3143675986231231
pca_embed_40,1682.3826311379453,1.2991562856169516
pca_embed_51,1681.1891333661042,1.298234652152923
pca_embed_57,1670.7965384020572,1.290209364194333
pca_embed_36,1651.1148667870293,1.2750109385110997
pca_embed_18,1618.6690346741816,1.249955873182134
pca_embed_41,1606.5731547254254,1.2406152878868226
pca_embed_48,1589.9451186460792,1.2277749166239926
pca_embed_31,1554.0950401126174,1.2000910508941702
pca_embed_23,1490.6787625895813,1.1511202317537257
pca_embed_50,1470.2967700407607,1.135381009746133
pca_embed_30,1468.014565531863,1.1336186637269086
