Strategy,Rank,Improvability %,Norm Score
combined_lightgbm,1.00,0.0%,1.000
embed-only_lightgbm,2.00,1.9%,0.532
embed-only_xgboost,3.00,2.5%,0.373
baseline_lightgbm,4.00,2.6%,0.354
combined_xgboost,5.00,3.6%,0.086
baseline_tabpfn,6.00,4.2%,0.000
baseline_xgboost,7.00,4.5%,0.000
combined_catboost,8.00,5.1%,0.000
baseline_catboost,9.00,5.5%,0.000
embed-only_catboost,10.00,6.4%,0.000
