Strategy,Rank,Improvability %,Norm Score
baseline_xgboost,1.00,0.0%,1.000
combined_xgboost,2.00,1.8%,0.723
embed-only_lightgbm,3.00,4.2%,0.327
baseline_tabpfn,4.00,5.4%,0.133
combined_lightgbm,5.00,5.8%,0.056
embed-only_catboost,6.00,6.4%,0.000
baseline_catboost,7.00,7.8%,0.000
combined_catboost,8.00,11.4%,0.000
baseline_lightgbm,9.00,11.6%,0.000
embed-only_xgboost,10.00,13.6%,0.000
