Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_lightgbm,2.00,0.6%,0.837
combined_xgboost,3.00,2.1%,0.386
baseline_lightgbm,4.00,2.2%,0.362
combined_catboost,5.00,2.8%,0.183
baseline_catboost,6.00,4.0%,0.000
baseline_xgboost,7.00,4.3%,0.000
embed-only_catboost,8.00,10.9%,0.000
embed-only_xgboost,9.00,11.2%,0.000
embed-only_lightgbm,10.00,11.3%,0.000
