Strategy,Rank,Improvability %,Norm Score
baseline_lightgbm,1.00,0.0%,1.000
baseline_tabpfn,2.00,4.0%,0.791
combined_lightgbm,3.00,12.8%,0.263
baseline_xgboost,4.00,15.9%,0.047
combined_xgboost,5.00,16.6%,0.001
combined_catboost,6.00,16.6%,0.000
embed-only_lightgbm,7.00,17.7%,0.000
embed-only_xgboost,8.00,21.8%,0.000
baseline_catboost,9.00,23.2%,0.000
embed-only_catboost,10.00,33.1%,0.000
