Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
embed-only_catboost,2.00,1.4%,0.259
combined_lightgbm,3.00,1.4%,0.255
embed-only_xgboost,4.00,1.5%,0.208
combined_xgboost,5.00,1.6%,0.179
embed-only_lightgbm,6.00,2.2%,0.000
combined_catboost,7.00,2.3%,0.000
baseline_xgboost,8.00,4.2%,0.000
baseline_catboost,9.00,4.6%,0.000
baseline_lightgbm,10.00,6.9%,0.000
