Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_xgboost,2.00,5.6%,0.261
combined_lightgbm,3.00,6.1%,0.184
embed-only_xgboost,4.00,6.7%,0.102
embed-only_catboost,5.00,7.1%,0.044
combined_catboost,6.00,7.7%,0.000
embed-only_lightgbm,7.00,8.3%,0.000
baseline_xgboost,8.00,13.5%,0.000
baseline_lightgbm,9.00,14.7%,0.000
baseline_catboost,10.00,15.8%,0.000
