Strategy,Rank,Improvability %,Norm Score
combined_catboost,1.00,0.0%,1.000
baseline_catboost,2.00,0.2%,0.964
combined_xgboost,3.00,2.2%,0.631
combined_lightgbm,4.00,4.7%,0.165
baseline_xgboost,5.00,5.3%,0.058
baseline_tabpfn,6.00,5.9%,0.000
baseline_lightgbm,7.00,6.2%,0.000
embed-only_catboost,8.00,7.4%,0.000
embed-only_xgboost,9.00,9.8%,0.000
embed-only_lightgbm,10.00,10.2%,0.000
