Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
embed-only_catboost,2.00,2.1%,0.637
combined_catboost,3.00,3.5%,0.392
combined_xgboost,4.00,4.0%,0.291
embed-only_xgboost,5.00,5.1%,0.096
combined_lightgbm,6.00,6.1%,0.000
embed-only_lightgbm,7.00,8.1%,0.000
baseline_catboost,8.00,36.5%,0.000
baseline_lightgbm,9.00,40.0%,0.000
baseline_xgboost,10.00,45.0%,0.000
