Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_lightgbm,2.00,1.9%,0.660
combined_catboost,3.00,4.4%,0.203
combined_xgboost,4.00,4.5%,0.182
baseline_lightgbm,5.00,4.8%,0.139
embed-only_catboost,6.00,6.2%,0.000
embed-only_xgboost,7.00,6.4%,0.000
baseline_xgboost,8.00,7.1%,0.000
embed-only_lightgbm,9.00,7.4%,0.000
baseline_catboost,10.00,8.2%,0.000
