Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_lightgbm,2.00,1.5%,0.371
baseline_xgboost,3.00,1.8%,0.222
combined_catboost,4.00,1.9%,0.189
combined_xgboost,5.00,2.1%,0.075
baseline_lightgbm,6.00,2.5%,0.000
baseline_catboost,7.00,2.9%,0.000
embed-only_lightgbm,8.00,3.3%,0.000
embed-only_xgboost,9.00,4.4%,0.000
embed-only_catboost,10.00,4.6%,0.000
