Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_catboost,2.00,0.6%,0.747
combined_lightgbm,3.00,0.7%,0.674
baseline_catboost,4.00,1.8%,0.150
embed-only_lightgbm,5.00,1.9%,0.114
baseline_lightgbm,6.00,2.4%,0.000
combined_xgboost,7.00,3.4%,0.000
embed-only_catboost,8.00,3.7%,0.000
embed-only_xgboost,9.00,4.0%,0.000
baseline_xgboost,10.00,5.6%,0.000
