Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_xgboost,2.00,5.1%,0.130
embed-only_catboost,3.00,5.3%,0.110
combined_lightgbm,4.00,5.6%,0.051
embed-only_lightgbm,5.00,5.7%,0.027
combined_catboost,6.00,6.0%,0.000
embed-only_xgboost,7.00,6.6%,0.000
baseline_catboost,8.00,9.1%,0.000
baseline_lightgbm,9.00,9.6%,0.000
baseline_xgboost,10.00,10.1%,0.000
