Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
baseline_catboost,2.00,2.0%,0.673
combined_xgboost,3.00,2.1%,0.664
combined_lightgbm,4.00,4.4%,0.264
baseline_xgboost,5.00,4.7%,0.218
combined_catboost,6.00,7.1%,0.000
embed-only_catboost,7.00,7.2%,0.000
baseline_lightgbm,8.00,7.8%,0.000
embed-only_xgboost,9.00,17.5%,0.000
embed-only_lightgbm,10.00,24.1%,0.000
