Strategy,Rank,Improvability %,Norm Score
embed-only_xgboost,1.00,0.0%,1.000
embed-only_catboost,2.00,0.0%,0.991
combined_catboost,3.00,0.0%,0.918
combined_xgboost,4.00,0.1%,0.818
baseline_tabpfn,5.00,0.4%,0.065
combined_lightgbm,6.00,0.4%,0.000
embed-only_lightgbm,7.00,0.5%,0.000
baseline_xgboost,8.00,4.1%,0.000
baseline_lightgbm,9.00,4.2%,0.000
baseline_catboost,10.00,6.2%,0.000
