Strategy,Rank,Improvability %,Norm Score
combined_lightgbm,1.00,0.0%,1.000
combined_catboost,2.00,0.6%,0.829
baseline_tabpfn,3.00,0.9%,0.730
baseline_lightgbm,4.00,2.6%,0.226
baseline_catboost,5.00,2.7%,0.187
embed-only_catboost,6.00,3.9%,0.000
embed-only_lightgbm,7.00,3.9%,0.000
embed-only_xgboost,8.00,4.4%,0.000
baseline_xgboost,9.00,5.9%,0.000
combined_xgboost,10.00,6.1%,0.000
