Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_catboost,2.00,3.1%,0.659
combined_xgboost,3.00,5.3%,0.398
combined_lightgbm,4.00,6.4%,0.275
embed-only_catboost,5.00,8.4%,0.014
embed-only_xgboost,6.00,8.7%,0.000
embed-only_lightgbm,7.00,10.3%,0.000
baseline_catboost,8.00,11.0%,0.000
baseline_lightgbm,9.00,12.3%,0.000
baseline_xgboost,10.00,12.9%,0.000
