Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
combined_lightgbm,2.00,0.9%,0.457
combined_xgboost,3.00,1.0%,0.444
combined_catboost,4.00,1.0%,0.414
baseline_catboost,5.00,1.7%,0.026
baseline_lightgbm,6.00,1.8%,0.000
embed-only_lightgbm,7.00,2.1%,0.000
baseline_xgboost,8.00,2.1%,0.000
embed-only_catboost,9.00,2.2%,0.000
embed-only_xgboost,10.00,2.2%,0.000
