Strategy,Rank,Improvability %,Norm Score
baseline_catboost,1.00,0.0%,1.000
combined_catboost,2.00,0.1%,0.971
baseline_tabpfn,3.00,0.4%,0.912
combined_lightgbm,4.00,2.4%,0.492
baseline_lightgbm,5.00,4.6%,0.002
embed-only_xgboost,6.00,4.6%,0.000
embed-only_lightgbm,7.00,5.0%,0.000
embed-only_catboost,8.00,6.5%,0.000
combined_xgboost,9.00,12.0%,0.000
baseline_xgboost,10.00,14.8%,0.000
