Strategy,Rank,Improvability %,Norm Score
baseline_tabpfn,1.00,0.0%,1.000
baseline_xgboost,2.00,0.2%,0.785
combined_lightgbm,3.00,0.3%,0.657
baseline_lightgbm,4.00,0.5%,0.455
baseline_catboost,5.00,0.6%,0.266
combined_catboost,6.00,1.0%,0.000
combined_xgboost,7.00,1.3%,0.000
embed-only_lightgbm,8.00,1.6%,0.000
embed-only_catboost,9.00,1.8%,0.000
embed-only_xgboost,10.00,2.0%,0.000
