Strategy,Rank,Improvability %,Norm Score
combined_lightgbm,1.00,0.0%,1.000
embed-only_xgboost,2.00,4.3%,0.674
baseline_tabpfn,3.00,7.7%,0.393
combined_catboost,4.00,8.3%,0.342
combined_xgboost,5.00,8.5%,0.317
baseline_lightgbm,6.00,15.3%,0.000
embed-only_lightgbm,7.00,17.2%,0.000
embed-only_catboost,8.00,19.3%,0.000
baseline_catboost,9.00,22.6%,0.000
baseline_xgboost,10.00,31.6%,0.000
