Strategy,Rank,Improvability %,Norm Score
baseline_lightgbm,1.00,0.0%,1.000
combined_lightgbm,2.00,8.3%,0.568
baseline_catboost,3.00,8.4%,0.562
baseline_tabpfn,4.00,10.7%,0.423
combined_catboost,5.00,12.5%,0.314
embed-only_lightgbm,6.00,21.5%,0.000
embed-only_xgboost,7.00,25.9%,0.000
embed-only_catboost,8.00,26.3%,0.000
combined_xgboost,9.00,65.9%,0.000
baseline_xgboost,10.00,83.5%,0.000
