dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,secondary_metric,eval_secondary_value
bank-marketing,binary,lightgbm,combined,45211,13,28.0,41.0,52.77610930707545,47.22389069292453,1-AUROC,0.2238212480158331,Accuracy,0.8954992812119872
bank-marketing,binary,xgboost,combined,45211,13,28.0,41.0,60.38246095257712,39.617539047422845,1-AUROC,0.2260774869704893,Accuracy,0.8951675328983745
bank-marketing,binary,catboost,embed-only,45211,13,28.0,28.0,100.0,0.0,1-AUROC,0.2272599971828085,Accuracy,0.8945040362711489
bank-marketing,binary,lightgbm,embed-only,45211,13,28.0,28.0,100.0,0.0,1-AUROC,0.2269246566991748,Accuracy,0.8938405396439235
bank-marketing,binary,xgboost,embed-only,45211,13,28.0,28.0,100.0,0.0,1-AUROC,0.2276346363041289,Accuracy,0.8950569501271702
bank_customer_churn,binary,catboost,raw-only,10000,10,20.0,10.0,0.0,100.0,1-AUROC,0.1248752604684807,Accuracy,0.8745
bank_customer_churn,binary,lightgbm,raw-only,10000,10,20.0,10.0,0.0,100.0,1-AUROC,0.1255847527033968,Accuracy,0.8735
bank_customer_churn,binary,xgboost,raw-only,10000,10,20.0,10.0,0.0,100.0,1-AUROC,0.1299203672085028,Accuracy,0.8695
bank_customer_churn,binary,catboost,combined,10000,10,20.0,30.0,66.41512761294038,33.584872387059605,1-AUROC,0.1232711910678011,Accuracy,0.87
bank_customer_churn,binary,lightgbm,combined,10000,10,20.0,30.0,67.14973193433687,32.85026806566314,1-AUROC,0.1234686149940387,Accuracy,0.871
bank_customer_churn,binary,xgboost,combined,10000,10,20.0,30.0,65.26005534648137,34.73994465351865,1-AUROC,0.1268865167170253,Accuracy,0.8685
bank_customer_churn,binary,catboost,embed-only,10000,10,20.0,20.0,100.0,0.0,1-AUROC,0.1273307205510593,Accuracy,0.866
bank_customer_churn,binary,lightgbm,embed-only,10000,10,20.0,20.0,100.0,0.0,1-AUROC,0.1249739724315994,Accuracy,0.8695
bank_customer_churn,binary,xgboost,embed-only,10000,10,20.0,20.0,99.99999999999996,0.0,1-AUROC,0.1276469073079242,Accuracy,0.8645
bioresponse,binary,catboost,raw-only,3751,1776,54.0,1776.0,0.0,100.00000000000044,1-AUROC,0.1231286783612365,Accuracy,0.7989347536617842
bioresponse,binary,lightgbm,raw-only,3751,1776,54.0,1776.0,0.0,99.99999999999996,1-AUROC,0.1249714302039883,Accuracy,0.7829560585885486
bioresponse,binary,xgboost,raw-only,3751,1776,54.0,1776.0,0.0,100.00000000000006,1-AUROC,0.1248642934689446,Accuracy,0.7869507323568575
bioresponse,binary,catboost,combined,3751,1776,54.0,1830.0,32.89665318031446,67.10334681968526,1-AUROC,0.1304639734872292,Accuracy,0.7869507323568575
bioresponse,binary,lightgbm,combined,3751,1776,54.0,1830.0,16.748017537378054,83.25198246262202,1-AUROC,0.1281283926632763,Accuracy,0.7896138482023968
bioresponse,binary,xgboost,combined,3751,1776,54.0,1830.0,39.37491790129832,60.62508209870168,1-AUROC,0.1290211987886406,Accuracy,0.7922769640479361
bioresponse,binary,catboost,embed-only,3751,1776,54.0,54.0,99.99999999999996,0.0,1-AUROC,0.1723615793383235,Accuracy,0.7576564580559254
bioresponse,binary,lightgbm,embed-only,3751,1776,54.0,54.0,99.99999999999996,0.0,1-AUROC,0.1770470258842352,Accuracy,0.7456724367509987
bioresponse,binary,xgboost,embed-only,3751,1776,54.0,54.0,100.0,0.0,1-AUROC,0.1663762070738814,Accuracy,0.7523302263648469
blood-transfusion-service-center,binary,catboost,raw-only,748,4,22.0,4.0,0.0,100.0,1-AUROC,0.2191764132553606,Accuracy,0.78
blood-transfusion-service-center,binary,lightgbm,raw-only,748,4,22.0,4.0,0.0,100.0,1-AUROC,0.2330653021442494,Accuracy,0.76
blood-transfusion-service-center,binary,xgboost,raw-only,748,4,22.0,4.0,0.0,100.0,1-AUROC,0.2252680311890839,Accuracy,0.7666666666666667
blood-transfusion-service-center,binary,catboost,combined,748,4,22.0,26.0,78.28523296425905,21.714767035740973,1-AUROC,0.231115984405458,Accuracy,0.78
blood-transfusion-service-center,binary,lightgbm,combined,748,4,22.0,26.0,66.99812134054518,33.00187865945481,1-AUROC,0.2246588693957114,Accuracy,0.76
blood-transfusion-service-center,binary,xgboost,combined,748,4,22.0,26.0,66.48821009854467,33.51178990145533,1-AUROC,0.2192982456140351,Accuracy,0.76
