dataset,algorithm,mode,primary_metric,primary_value,primary_delta,secondary_metric,secondary_value,secondary_delta,macro_embedding_share,total_duration_secs
churn,catboost,combined,ROC_AUC,0.9320668103270338,0.0179,Accuracy,0.971,-0.003,78.61,514.83
churn,catboost,embed-only,ROC_AUC,0.9284918138359795,0.0143,Accuracy,0.972,-0.002,100.0,563.54
churn,catboost,raw-only,ROC_AUC,0.928805554867527,0.0146,Accuracy,0.963,-0.011,0.0,327.21
churn,lightgbm,combined,ROC_AUC,0.9264690098167918,0.0123,Accuracy,0.972,-0.002,82.27,248.41
churn,lightgbm,embed-only,ROC_AUC,0.9279468952022392,0.0137,Accuracy,0.972,-0.002,100.0,188.37
churn,lightgbm,raw-only,ROC_AUC,0.8985955960666782,-0.0156,Accuracy,0.946,-0.028,0.0,171.78
churn,xgboost,combined,ROC_AUC,0.9267910071912747,0.0126,Accuracy,0.974,0.0,89.83,411.89
churn,xgboost,embed-only,ROC_AUC,0.9324878838167422,0.0183,Accuracy,0.972,-0.002,100.0,306.74
churn,xgboost,raw-only,ROC_AUC,0.9057744862490609,-0.0084,Accuracy,0.945,-0.029,0.0,162.95
mic,catboost,combined,Log_Loss,0.44206337466248996,-0.0121,Accuracy,0.8911764705882353,0.0,39.63,1423.85
mic,catboost,embed-only,Log_Loss,0.452767081678008,-0.0014,Accuracy,0.8823529411764706,-0.0088,100.0,734.74
mic,catboost,raw-only,Log_Loss,0.4403654721376422,-0.0138,Accuracy,0.8911764705882353,0.0,0.0,1136.26
mic,lightgbm,combined,Log_Loss,0.4330074129608366,-0.0211,Accuracy,0.8852941176470588,-0.0059,32.21,257.66
mic,lightgbm,embed-only,Log_Loss,0.46015015884051563,0.006,Accuracy,0.888235294117647,-0.0029,100.0,248.13
mic,lightgbm,raw-only,Log_Loss,0.44801348598015717,-0.0061,Accuracy,0.888235294117647,-0.0029,0.0,277.69
mic,xgboost,combined,Log_Loss,0.4398190677165985,-0.0143,Accuracy,0.888235294117647,-0.0029,48.0,1291.67
mic,xgboost,embed-only,Log_Loss,0.45794302225112915,0.0038,Accuracy,0.8852941176470588,-0.0059,100.0,352.78
mic,xgboost,raw-only,Log_Loss,0.4550918936729431,0.001,Accuracy,0.8911764705882353,0.0,0.0,660.87
wine_quality,catboost,combined,RMSE,0.5713003275083004,0.0047,MSE,0.32638406421109134,0.0053,86.8,2166.84
wine_quality,catboost,embed-only,RMSE,0.574628937124844,0.008,MSE,0.33019841538122785,0.0091,100.0,824.41
wine_quality,catboost,raw-only,RMSE,0.5861037868366408,0.0195,MSE,0.3435176489442504,0.0224,0.0,1233.48
wine_quality,lightgbm,combined,RMSE,0.5701424201937298,0.0035,MSE,0.3250623793043636,0.004,95.37,179.9
wine_quality,lightgbm,embed-only,RMSE,0.5697994935578625,0.0032,MSE,0.32467146285879656,0.0036,100.0,166.03
wine_quality,lightgbm,raw-only,RMSE,0.5918888245373344,0.0253,MSE,0.35033238061218747,0.0293,0.0,378.6
wine_quality,xgboost,combined,RMSE,0.5700743555550993,0.0034,MSE,0.3249847708615618,0.0039,95.54,366.05
wine_quality,xgboost,embed-only,RMSE,0.5703953340561078,0.0038,MSE,0.3253508371129788,0.0043,100.0,252.89
wine_quality,xgboost,raw-only,RMSE,0.5898372995379743,0.0232,MSE,0.3479080399262499,0.0268,0.0,590.07
