Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,2.92 [2.33 - 3.55],2.76 [2.13 - 3.45],3.38 [2.00 - 4.77],2.37 [1.73 - 3.07],4.25 [2.75 - 5.88],2.77 [2.00 - 3.57],3.14 [2.19 - 4.29]
hybrid_*,2.16 [1.84 - 2.51],2.37 [1.97 - 2.79],1.54 [1.23 - 1.85],2.43 [2.00 - 2.83],2.12 [1.38 - 3.12],2.40 [1.93 - 2.87],1.81 [1.43 - 2.24]
raw-only_*,4.39 [3.67 - 5.16],3.53 [2.79 - 4.29],6.92 [5.85 - 7.85],3.70 [2.93 - 4.60],2.88 [1.50 - 4.62],4.10 [3.13 - 5.17],4.81 [3.67 - 5.86]
