dataset,strategy,rank,improvability,norm_score
students_dropout_and_academic_success,embed-only_catboost,6.0,3.9,0.0
students_dropout_and_academic_success,embed-only_lightgbm,7.0,3.9,0.0
students_dropout_and_academic_success,embed-only_xgboost,8.0,4.4,0.0
students_dropout_and_academic_success,baseline_xgboost,9.0,5.9,0.0
students_dropout_and_academic_success,combined_xgboost,10.0,6.1,0.0
superconductivity,combined_catboost,1.0,0.0,1.0
superconductivity,embed-only_catboost,2.0,0.4,0.789
superconductivity,embed-only_lightgbm,3.0,1.8,0.112
superconductivity,embed-only_xgboost,4.0,1.8,0.099
superconductivity,combined_xgboost,5.0,1.9,0.071
superconductivity,combined_lightgbm,6.0,2.2,0.0
superconductivity,baseline_tabpfn,7.0,2.6,0.0
superconductivity,baseline_xgboost,8.0,6.7,0.0
superconductivity,baseline_lightgbm,9.0,6.8,0.0
superconductivity,baseline_catboost,10.0,7.8,0.0
taiwanese_bankruptcy_prediction,embed-only_catboost,1.0,0.0,1.0
taiwanese_bankruptcy_prediction,combined_xgboost,2.0,1.3,0.913
taiwanese_bankruptcy_prediction,embed-only_xgboost,3.0,4.2,0.712
taiwanese_bankruptcy_prediction,baseline_xgboost,4.0,10.9,0.204
taiwanese_bankruptcy_prediction,embed-only_lightgbm,5.0,13.1,0.018
taiwanese_bankruptcy_prediction,baseline_tabpfn,6.0,13.5,0.0
taiwanese_bankruptcy_prediction,baseline_lightgbm,7.0,13.8,0.0
taiwanese_bankruptcy_prediction,combined_catboost,8.0,14.1,0.0
taiwanese_bankruptcy_prediction,combined_lightgbm,9.0,16.3,0.0
taiwanese_bankruptcy_prediction,baseline_catboost,10.0,30.1,0.0
website_phishing,baseline_lightgbm,1.0,0.0,1.0
website_phishing,baseline_tabpfn,2.0,4.0,0.791
website_phishing,combined_lightgbm,3.0,12.8,0.263
website_phishing,baseline_xgboost,4.0,15.9,0.047
website_phishing,combined_xgboost,5.0,16.6,0.001
website_phishing,combined_catboost,6.0,16.6,0.0
website_phishing,embed-only_lightgbm,7.0,17.7,0.0
website_phishing,embed-only_xgboost,8.0,21.8,0.0
website_phishing,baseline_catboost,9.0,23.2,0.0
website_phishing,embed-only_catboost,10.0,33.1,0.0
wine_quality,embed-only_xgboost,1.0,0.0,1.0
wine_quality,baseline_tabpfn,2.0,0.0,0.921
wine_quality,combined_lightgbm,3.0,0.0,0.9
wine_quality,combined_catboost,4.0,0.2,0.319
wine_quality,combined_xgboost,5.0,0.2,0.238
wine_quality,embed-only_lightgbm,6.0,0.3,0.0
wine_quality,embed-only_catboost,7.0,1.2,0.0
wine_quality,baseline_catboost,8.0,2.4,0.0
wine_quality,baseline_lightgbm,9.0,3.0,0.0
wine_quality,baseline_xgboost,10.0,3.7,0.0
