dataset,strategy,rank,improvability,norm_score
churn,embed-only_lightgbm,4.0,10.1,0.288
churn,embed-only_xgboost,5.0,13.2,0.037
churn,combined_xgboost,6.0,14.1,0.0
churn,baseline_tabpfn,7.0,18.3,0.0
churn,baseline_catboost,8.0,18.7,0.0
churn,baseline_lightgbm,9.0,20.2,0.0
churn,baseline_xgboost,10.0,29.7,0.0
coil2000_insurance_policies,baseline_tabpfn,1.0,0.0,1.0
coil2000_insurance_policies,combined_catboost,2.0,3.1,0.659
coil2000_insurance_policies,combined_xgboost,3.0,5.3,0.398
coil2000_insurance_policies,combined_lightgbm,4.0,6.4,0.275
coil2000_insurance_policies,embed-only_catboost,5.0,8.4,0.014
coil2000_insurance_policies,embed-only_xgboost,6.0,8.7,0.0
coil2000_insurance_policies,embed-only_lightgbm,7.0,10.3,0.0
coil2000_insurance_policies,baseline_catboost,8.0,11.0,0.0
coil2000_insurance_policies,baseline_lightgbm,9.0,12.3,0.0
coil2000_insurance_policies,baseline_xgboost,10.0,12.9,0.0
concrete_compressive_strength,baseline_tabpfn,1.0,0.0,1.0
concrete_compressive_strength,baseline_xgboost,2.0,8.0,0.257
concrete_compressive_strength,combined_catboost,3.0,8.7,0.179
concrete_compressive_strength,embed-only_catboost,4.0,9.7,0.078
concrete_compressive_strength,baseline_lightgbm,5.0,10.3,0.01
concrete_compressive_strength,baseline_catboost,6.0,10.5,0.0
concrete_compressive_strength,embed-only_xgboost,7.0,12.3,0.0
concrete_compressive_strength,combined_lightgbm,8.0,13.7,0.0
concrete_compressive_strength,embed-only_lightgbm,9.0,14.4,0.0
concrete_compressive_strength,combined_xgboost,10.0,16.8,0.0
credit-g,baseline_tabpfn,1.0,0.0,1.0
credit-g,combined_lightgbm,2.0,4.6,0.503
credit-g,baseline_xgboost,3.0,6.0,0.333
credit-g,baseline_catboost,4.0,7.7,0.126
credit-g,baseline_lightgbm,5.0,8.6,0.022
credit-g,combined_catboost,6.0,8.9,0.0
credit-g,combined_xgboost,7.0,11.4,0.0
credit-g,embed-only_xgboost,8.0,19.2,0.0
credit-g,embed-only_catboost,9.0,21.8,0.0
credit-g,embed-only_lightgbm,10.0,23.9,0.0
credit_card_clients_default,baseline_tabpfn,1.0,0.0,1.0
credit_card_clients_default,combined_lightgbm,2.0,1.5,0.371
credit_card_clients_default,baseline_xgboost,3.0,1.8,0.222
credit_card_clients_default,combined_catboost,4.0,1.9,0.189
credit_card_clients_default,combined_xgboost,5.0,2.1,0.075
credit_card_clients_default,baseline_lightgbm,6.0,2.5,0.0
credit_card_clients_default,baseline_catboost,7.0,2.9,0.0
credit_card_clients_default,embed-only_lightgbm,8.0,3.3,0.0
credit_card_clients_default,embed-only_xgboost,9.0,4.4,0.0
credit_card_clients_default,embed-only_catboost,10.0,4.6,0.0
customer_satisfaction_in_airline,baseline_tabpfn,1.0,0.0,1.0
customer_satisfaction_in_airline,combined_lightgbm,2.0,7.0,0.451
customer_satisfaction_in_airline,combined_xgboost,3.0,9.6,0.228
customer_satisfaction_in_airline,combined_catboost,4.0,10.8,0.116
customer_satisfaction_in_airline,baseline_lightgbm,5.0,11.6,0.047
customer_satisfaction_in_airline,baseline_catboost,6.0,12.6,0.0
customer_satisfaction_in_airline,embed-only_lightgbm,7.0,22.7,0.0
customer_satisfaction_in_airline,embed-only_xgboost,8.0,22.9,0.0
customer_satisfaction_in_airline,embed-only_catboost,9.0,23.7,0.0
