Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,0.620 [0.497 - 0.736],0.647 [0.515 - 0.771],0.542 [0.248 - 0.834],0.703 [0.561 - 0.837],0.438 [0.190 - 0.690],0.652 [0.494 - 0.805],0.574 [0.365 - 0.759]
combined_*,0.610 [0.513 - 0.700],0.595 [0.487 - 0.694],0.654 [0.463 - 0.852],0.584 [0.462 - 0.703],0.635 [0.393 - 0.873],0.545 [0.424 - 0.671],0.703 [0.561 - 0.836]
embed-only_*,0.249 [0.165 - 0.348],0.150 [0.073 - 0.238],0.540 [0.342 - 0.721],0.151 [0.069 - 0.248],0.147 [0.017 - 0.368],0.255 [0.139 - 0.380],0.241 [0.108 - 0.391]
raw-only_*,0.359 [0.251 - 0.469],0.474 [0.351 - 0.603],0.024 [0.000 - 0.069],0.441 [0.297 - 0.569],0.594 [0.314 - 0.818],0.404 [0.257 - 0.546],0.295 [0.148 - 0.469]
