Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,2.00 [1.71 - 2.29],2.00 [1.66 - 2.37],2.00 [1.46 - 2.54],1.83 [1.47 - 2.20],2.62 [2.00 - 3.25],2.00 [1.60 - 2.43],2.00 [1.57 - 2.48]
combined_*,2.10 [1.88 - 2.31],2.11 [1.87 - 2.34],2.08 [1.62 - 2.54],2.17 [1.87 - 2.43],1.88 [1.38 - 2.38],2.27 [2.00 - 2.50],1.86 [1.52 - 2.19]
embed-only_*,3.06 [2.76 - 3.33],3.39 [3.11 - 3.63],2.08 [1.69 - 2.54],3.40 [3.07 - 3.70],3.38 [2.88 - 3.75],3.03 [2.63 - 3.40],3.10 [2.67 - 3.48]
raw-only_*,2.73 [2.43 - 3.02],2.42 [2.11 - 2.74],3.62 [3.23 - 3.92],2.53 [2.20 - 2.87],2.00 [1.38 - 2.75],2.63 [2.23 - 3.07],2.86 [2.43 - 3.24]
