dataset,Fair Share Gap,Fair Share Multiplier,Actual Share %,Expected Share %,task_type,size_scale,pca_n_components,feat_total_count
coil2000_insurance_policies,21.28409888709046,1.5302354459590957,61.424943957512994,40.140845070422536,Binary,Small,57.0,142.0
wine_quality,23.815169757160103,1.3524645124059695,91.38273732472767,67.56756756756756,Regression,Small,25.0,37.0
mic,24.132745519149736,2.1342390394000375,45.409341263830584,21.27659574468085,Multiclass,Small,30.0,141.0
polish_companies_bankruptcy,24.467482736778738,1.5458130764358333,69.29506894367529,44.82758620689655,Binary,Small,52.0,116.0
bioresponse,26.722376534199128,10.05591649214526,29.673196206330278,2.9508196721311477,Binary,Small,54.0,1830.0
apsfailure,27.46778260910462,2.413585885492945,46.89906222995771,19.431279620853083,Binary,Medium,41.0,211.0
superconductivity,31.67677895037093,1.6833133745008586,78.03439484441066,46.35761589403973,Regression,Medium,70.0,151.0
churn,33.49163926239931,1.6530869656167866,84.77369054445059,51.28205128205128,Binary,Small,20.0,39.0
hiva_agnostic,63.06816839980212,22.44317725593272,66.00934487039035,2.941176470588235,Multiclass,Small,49.0,1666.0
qsar-tid-11,89.7282763485581,24.307466905174238,93.57804160677405,3.8497652582159625,Regression,Small,41.0,1065.0
