dataset,Fair Share Gap,Fair Share Multiplier,Actual Share %,Expected Share %,task_type,size_scale,pca_n_components,feat_total_count
diamonds,-40.180225050863974,0.47350049933350663,36.135564422820245,76.31578947368422,Regression,Medium,29.0,38.0
amazon_employee_access,-39.868890255589186,0.5323072489248192,45.37701138375507,85.24590163934425,Binary,Medium,52.0,61.0
diabetes,-33.270822739576204,0.5841147157552975,46.729177260423796,80.0,Binary,Small,32.0,40.0
givemesomecredit,-27.441801597704103,0.5883729760344384,39.22486506896255,66.66666666666666,Binary,Medium,20.0,30.0
fitness_club,-22.755971941212554,0.6814163928230242,48.67259948735887,71.42857142857143,Binary,Small,15.0,21.0
another-dataset-on-used-fiat-500,-20.648310379761764,0.7667505679323208,67.87627978417265,88.52459016393442,Regression,Small,54.0,61.0
maternal_health_risk,-16.502657903539486,0.8089165926958586,69.86097846009687,86.36363636363636,Multiclass,Small,38.0,44.0
sdss17,-14.834620290458929,0.7739486431930068,50.79037970954107,65.625,Multiclass,Medium,21.0,32.0
heloc,-14.20630910339851,0.702343999738317,33.520963623874216,47.72727272727273,Binary,Medium,21.0,44.0
blood-transfusion-service-center,-14.024863147601645,0.834251617346526,70.59052146778298,84.61538461538461,Binary,Small,22.0,26.0
hr_analytics_job_change_of_data_scientists,-13.11111311482829,0.8251851584689561,61.88888688517171,75.0,Binary,Medium,36.0,48.0
credit_card_clients_default,-11.987037052898144,0.7602592589420372,38.01296294710186,50.0,Binary,Medium,23.0,46.0
qsar_fish_toxicity,-10.870117655713765,0.8826027293182914,81.72247493687883,92.5925925925926,Regression,Small,75.0,81.0
website_phishing,-10.44104522027248,0.8607860637297002,64.55895477972751,75.0,Multiclass,Small,27.0,36.0
online_shoppers_intention,-9.777299142888653,0.8230774440810625,45.48585875184819,55.26315789473685,Binary,Medium,21.0,38.0
bank-marketing,-8.657570939724046,0.8732284255254693,59.635111987105226,68.29268292682927,Binary,Medium,28.0,41.0
customer_satisfaction_in_airline,-7.074915740007491,0.8842286515271501,54.036195371103624,61.111111111111114,Binary,Medium,33.0,54.0
healthcare_insurance_expenses,-6.184629140075785,0.9233105986630603,74.46053215024679,80.64516129032258,Regression,Small,25.0,31.0
qsar-biodeg,-4.97906223771183,0.9048445883459517,47.34651915763701,52.32558139534884,Binary,Small,45.0,86.0
seismic-bumps,-3.836176205516137,0.9386211807117418,58.66382379448387,62.5,Binary,Small,25.0,40.0
concrete_compressive_strength,-2.6588221505513068,0.9706847814169984,88.03885226805335,90.69767441860465,Regression,Small,78.0,86.0
taiwanese_bankruptcy_prediction,-2.4099412923111863,0.905108561615247,22.986884104514207,25.396825396825395,Binary,Small,32.0,126.0
students_dropout_and_academic_success,-1.9798863637642892,0.9556232366742486,42.635498251620334,44.61538461538462,Multiclass,Small,29.0,65.0
houses,-1.4314807585691323,0.984197939678133,89.15675453554853,90.58823529411764,Regression,Medium,77.0,85.0
diabetes130us,-0.787174662241604,0.9823921457130167,43.91870769069957,44.70588235294118,Binary,Medium,38.0,85.0
bank_customer_churn,-0.39169503541378486,0.9941245744687932,66.27497163125287,66.66666666666666,Binary,Small,20.0,30.0
naticusdroid,1.6827087575878548,1.0570251301182552,31.190905478899328,29.508196721311474,Binary,Small,36.0,122.0
credit-g,2.4372160161568175,1.035977950714696,70.17915150002777,67.74193548387096,Binary,Small,42.0,62.0
splice,3.5657239226155206,1.1004885832737101,39.04959489035746,35.483870967741936,Multiclass,Small,33.0,93.0
airfoil_self_noise,5.536172302031237,1.0602180145133222,97.47165617299898,91.93548387096774,Regression,Small,57.0,62.0
miami_housing,5.865568216845347,1.0707082196003275,88.8201136713908,82.95454545454545,Regression,Medium,73.0,88.0
physiochemical_protein,6.151650381676181,1.0678802800736682,96.77665038167618,90.625,Regression,Medium,87.0,96.0
food_delivery_time,6.208120498072859,1.0785144651226861,85.27788793993332,79.06976744186046,Regression,Medium,34.0,43.0
hazelnut-spread-contaminant-detection,6.247572825315603,1.1015230584113784,67.78603436377715,61.53846153846154,Binary,Small,48.0,78.0
marketing_campaign,6.312702528015396,1.10070263556596,68.9992696921945,62.68656716417911,Binary,Small,42.0,67.0
is-this-a-good-customer,7.458039157106886,1.105856039649259,77.91258461165233,70.45454545454545,Binary,Small,31.0,44.0
jm1,7.559182724983107,1.1133877408747466,74.22584939164976,66.66666666666666,Binary,Medium,42.0,63.0
e-commereshippingdata,8.173517197345562,1.1560398737675062,60.55446957829795,52.38095238095239,Binary,Medium,11.0,21.0
in_vehicle_coupon_recommendation,8.667046096123173,1.1225340999796725,79.39875341319635,70.73170731707317,Binary,Medium,58.0,82.0
anneal,17.71279515987258,1.3874673941222124,63.42708087415829,45.714285714285715,Multiclass,Small,32.0,70.0
kddcup09_appetency,19.03060819192829,2.310997453221727,33.54673722418636,14.516129032258066,Binary,Medium,36.0,248.0
