number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
10,0.18370633040469997,2026-06-24 16:13:52.556233,2026-06-24 16:13:53.057049,0 days 00:00:00.500816,0.8201989861865416,0.9630659181130071,lossguide,0.08841659637313287,8.0,7.0,9.0,3.857346839423388,4.7988577526525065,2.588720128252829,0.9729161367647149,19,,COMPLETE
11,0.18188779894622287,2026-06-24 16:13:53.066597,2026-06-24 16:13:53.953131,0 days 00:00:00.886534,0.9847867967774614,0.9905752293907844,depthwise,0.0052832183476381,12.0,10.0,8.0,0.06700754778843486,3.402630830668549,0.10274263217298696,0.9484983989017353,183,,COMPLETE
12,0.1885541669984605,2026-06-24 16:13:53.963097,2026-06-24 16:13:54.495285,0 days 00:00:00.532188,0.9979548057541356,0.9984066126989741,depthwise,0.005585291501183812,11.0,6.0,25.0,0.08422862878644438,4.045091490414849,0.03585691088886911,0.9968315424034919,19,,COMPLETE
13,0.18481434200863545,2026-06-24 16:13:54.504731,2026-06-24 16:13:55.128937,0 days 00:00:00.624206,0.906702606839036,0.9224687378301841,depthwise,0.0364822543842359,12.0,5.0,23.0,0.049735535566518066,3.192547433012216,2.240566785001376,0.9073333297550832,58,,COMPLETE
14,0.18388125210136086,2026-06-24 16:13:55.138335,2026-06-24 16:13:55.933811,0 days 00:00:00.795476,0.986844056885221,0.912415457654784,lossguide,0.007424153156629865,31.0,7.0,75.0,4.884172054714982,3.0408299893588127,3.263584139441914,0.9297508755325191,78,,COMPLETE
15,0.18124909862681604,2026-06-24 16:13:55.943181,2026-06-24 16:13:56.749305,0 days 00:00:00.806124,0.9186275983959598,0.9979527179789717,lossguide,0.033957652539039894,10.0,4.0,8.0,0.05097796342824589,3.8226548997730148,1.692483378996399,0.9362148766913247,98,,COMPLETE
16,0.1825223933172302,2026-06-24 16:13:56.759872,2026-06-24 16:13:57.351544,0 days 00:00:00.591672,0.8889117271894286,0.9185914755768421,lossguide,0.034882079287854625,8.0,4.0,41.0,0.016269636891711393,4.213877459731386,1.7264753116509093,0.8877192147795404,25,,COMPLETE
17,0.1834647955707739,2026-06-24 16:13:57.360788,2026-06-24 16:13:58.374518,0 days 00:00:01.013730,0.839814514046141,0.874937287730466,lossguide,0.0356863977250977,11.0,4.0,168.0,1.7513309927616696,2.4957897842285153,4.956386852998385,0.8547579096783224,133,,COMPLETE
18,0.18236006043071262,2026-06-24 16:13:58.383409,2026-06-24 16:13:58.906448,0 days 00:00:00.523039,0.9385906471215536,0.9480923804617473,lossguide,0.05680737032825729,27.0,4.0,16.0,0.15818249858028355,3.8518136247642505,3.199248875647957,0.9672255031398275,17,,COMPLETE
19,0.18283820849038235,2026-06-24 16:13:58.915327,2026-06-24 16:14:00.017593,0 days 00:00:01.102266,0.7895646410899053,0.723819408991232,lossguide,0.02751077569003935,10.0,5.0,51.0,0.02273190352286009,4.748388852394958,1.6223059628450236,0.7365711678656247,163,,COMPLETE
20,0.18329497243899417,2026-06-24 16:14:00.026460,2026-06-24 16:14:00.790398,0 days 00:00:00.763938,0.8802489778678998,0.8759710886560624,lossguide,0.06592865234788307,15.0,4.0,14.0,0.0016034900695416868,2.684037038405047,3.8142509308550583,0.9114895758711576,65,,COMPLETE
