dataset,task_type,pca_dimensions,pca_silhouette_score,pca_knn_purity
fitness_club,binary,15,0.0551726147532463,0.7416666666666666
another-dataset-on-used-fiat-500,regression,54,0.1002207323908805,0.6609756097560975
hiva_agnostic,multiclass,49,-0.0215279795229434,0.9626142962728328
healthcare_insurance_expenses,regression,25,0.1706653386354446,0.8915887850467289
e-commereshippingdata,binary,11,0.1272547543048858,0.6466633288542043
credit_card_clients_default,binary,23,0.0275776647031307,0.7860833333333334
churn,binary,20,0.3214157223701477,0.96925
maternal_health_risk,multiclass,38,0.0562210269272327,0.8335226842384307
airfoil_self_noise,regression,57,0.21729676425457,0.8935131396957123
hazelnut-spread-contaminant-detection,binary,48,0.1443016082048416,0.9390625
jm1,binary,42,-0.0034004233311861,0.7932926495521333
sdss17,multiclass,21,0.1767520010471344,0.9764581364592514
diabetes130us,binary,38,0.0373366512358188,0.8946585618666397
houses,regression,77,0.1151402369141578,0.759569434977618
diabetes,binary,32,0.017643466591835,0.7329868052778888
qsar-biodeg,binary,45,0.0318204723298549,0.8339391377852916
polish_companies_bankruptcy,binary,52,0.2089279443025589,0.978004407306733
is-this-a-good-customer,binary,31,0.0202662330120801,0.8708353096179182
naticusdroid,binary,36,0.007171316538006,0.9250680519798776
diamonds,regression,29,0.2355399429798126,0.9379634594799822
in_vehicle_coupon_recommendation,binary,58,0.0090880459174513,0.7234647852444966
coil2000_insurance_policies,binary,57,-0.0095120379701256,0.9270708921077482
website_phishing,multiclass,27,0.0536312013864517,0.9001877453490357
qsar_fish_toxicity,regression,75,0.046192217618227,0.5944827586206897
qsar-tid-11,regression,41,0.0769382342696189,0.6679750415460587
splice,multiclass,33,0.1380384415388107,0.9447488584474886
students_dropout_and_academic_success,multiclass,29,0.0492771007120609,0.7406076442995388
apsfailure,binary,41,0.2485229820013046,0.9930098684210528
bank_customer_churn,binary,20,0.0408681258559227,0.8390000000000001
bioresponse,binary,54,0.0089687388390302,0.738
miami_housing,regression,73,0.1734160333871841,0.8166061705989112
blood-transfusion-service-center,binary,22,-0.0123568680137395,0.7525490196078432
credit-g,binary,42,0.0268132332712411,0.72375
amazon_employee_access,binary,52,0.024166103452444,0.950982262063704
heloc,binary,21,0.0032429532147943,0.6571048653111009
kddcup09_appetency,binary,36,0.0286917854100465,0.980125
physiochemical_protein,regression,87,0.0965406894683837,0.7410070042927511
anneal,multiclass,32,0.3079489469528198,0.9971830985915492
taiwanese_bankruptcy_prediction,binary,32,0.0890234485268592,0.9670027497708524
customer_satisfaction_in_airline,binary,33,0.0819249525666236,0.955333768320149
wine_quality,regression,25,0.0829733610153198,0.6740388317168875
hr_analytics_job_change_of_data_scientists,binary,36,0.0388932153582572,0.7763270687613131
online_shoppers_intention,binary,21,0.0380224324762821,0.8891927944080791
bank-marketing,binary,28,0.0736978352069854,0.872069208185183
mic,multiclass,30,0.1962169557809829,0.8756511829824181
marketing_campaign,binary,42,0.0454145148396492,0.8755497113334683
concrete_compressive_strength,regression,78,0.1559517830610275,0.8555801921655579
superconductivity,regression,70,0.1869951337575912,0.8476190476190476
food_delivery_time,regression,34,-0.0326683521270751,0.4188943894389439
seismic-bumps,binary,25,-0.0128972399979829,0.9259781731410324
givemesomecredit,binary,20,0.059621673077344894,0.9264333333333333
