strata,mode_algorithm,total_datasets,mean,min,p10,q1,median,q3,p90,max
medium,baseline_tabpfn,21,0.574,0.0,0.0,0.0115,0.9118,1.0,1.0,1.0
medium,combined_lightgbm,21,0.4109,0.0,0.0,0.1651,0.3713,0.6573,0.8826,1.0
medium,combined_catboost,21,0.4611,0.0,0.0,0.1165,0.2306,0.9706,1.0,1.0
medium,combined_xgboost,21,0.2432,0.0,0.0,0.0,0.1682,0.3862,0.6306,1.0
medium,baseline_lightgbm,21,0.1053,0.0,0.0,0.0,0.0,0.1394,0.3623,0.6263
medium,baseline_catboost,21,0.209,0.0,0.0,0.0,0.0,0.2661,0.9642,1.0
medium,baseline_xgboost,21,0.0909,0.0,0.0,0.0,0.0,0.0,0.2223,0.7847
medium,embed-only_lightgbm,21,0.14,0.0,0.0,0.0,0.0,0.1584,0.5317,0.8451
medium,embed-only_catboost,21,0.1682,0.0,0.0,0.0,0.0,0.0438,0.7891,1.0
medium,embed-only_xgboost,21,0.0952,0.0,0.0,0.0,0.0,0.0,0.3727,0.8696
binary,baseline_tabpfn,30,0.7028,0.0,0.0,0.3341,1.0,1.0,1.0,1.0
binary,combined_lightgbm,30,0.3714,0.0,0.0,0.1078,0.2787,0.5883,0.8529,1.0
binary,combined_catboost,30,0.2713,0.0,0.0,0.0,0.0,0.5515,0.9736,1.0
binary,combined_xgboost,30,0.2107,0.0,0.0,0.0,0.0801,0.3689,0.6672,0.9129
binary,baseline_lightgbm,30,0.207,0.0,0.0,0.0,0.012,0.3866,0.6307,0.9352
binary,baseline_catboost,30,0.2668,0.0,0.0,0.0,0.0273,0.4364,0.9678,1.0
binary,baseline_xgboost,30,0.214,0.0,0.0,0.0,0.0,0.2925,0.7731,1.0
binary,embed-only_lightgbm,30,0.0813,0.0,0.0,0.0,0.0,0.0898,0.3269,0.5317
binary,embed-only_catboost,30,0.0705,0.0,0.0,0.0,0.0,0.0,0.099,1.0
binary,embed-only_xgboost,30,0.0728,0.0,0.0,0.0,0.0,0.0,0.2949,0.7117
multiclass,baseline_tabpfn,8,0.4376,0.0,0.0,0.0,0.4898,0.7452,0.854,1.0
multiclass,combined_lightgbm,8,0.5998,0.0,0.0707,0.2226,0.7171,1.0,1.0,1.0
multiclass,combined_catboost,8,0.2148,0.0,0.0,0.0,0.0956,0.3316,0.5176,0.8293
multiclass,combined_xgboost,8,0.1656,0.0,0.0,0.0,0.0007,0.2648,0.4602,0.745
multiclass,baseline_lightgbm,8,0.3901,0.0,0.0423,0.1776,0.2657,0.484,1.0,1.0
multiclass,baseline_catboost,8,0.3714,0.0,0.0,0.0,0.2049,0.6712,1.0,1.0
multiclass,baseline_xgboost,8,0.0137,0.0,0.0,0.0,0.0,0.0119,0.0518,0.0618
multiclass,embed-only_lightgbm,8,0.1278,0.0,0.0,0.0,0.0,0.0396,0.3702,0.8644
multiclass,embed-only_catboost,8,0.1197,0.0,0.0,0.0,0.0,0.0332,0.3403,0.8246
multiclass,embed-only_xgboost,8,0.1105,0.0,0.0,0.0,0.0,0.0,0.2651,0.8837
regression,baseline_tabpfn,13,0.5418,0.0,0.0,0.0115,0.9209,1.0,1.0,1.0
regression,combined_lightgbm,13,0.2481,0.0,0.0,0.0,0.1493,0.2782,0.7853,0.9002
regression,combined_catboost,13,0.5353,0.0,0.0359,0.2306,0.4504,0.9178,1.0,1.0
regression,combined_xgboost,13,0.2635,0.0,0.0,0.0,0.1682,0.291,0.7604,1.0
regression,baseline_lightgbm,13,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0096
regression,baseline_catboost,13,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0608
regression,baseline_xgboost,13,0.0198,0.0,0.0,0.0,0.0,0.0,0.0,0.2571
regression,embed-only_lightgbm,13,0.1416,0.0,0.0,0.0,0.0,0.1144,0.4708,0.8451
regression,embed-only_catboost,13,0.4058,0.0,0.0,0.0781,0.2585,0.7891,0.9589,1.0
regression,embed-only_xgboost,13,0.2945,0.0,0.0,0.0,0.0965,0.5559,0.9739,1.0
