Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,2.92 [2.33 - 3.55],2.76 [2.13 - 3.45],3.38 [2.00 - 4.77],2.37 [1.73 - 3.07],4.25 [2.75 - 5.88],2.77 [2.00 - 3.57],3.14 [2.19 - 4.29]
hybrid_*,4.20 [3.59 - 4.84],4.37 [3.58 - 5.16],3.69 [2.69 - 4.69],4.50 [3.60 - 5.40],3.88 [2.50 - 5.12],4.87 [4.13 - 5.57],3.24 [2.29 - 4.33]
raw-only_*,5.71 [4.94 - 6.47],5.05 [4.11 - 5.84],7.62 [6.46 - 8.54],5.13 [4.20 - 6.17],4.75 [2.75 - 6.62],5.67 [4.63 - 6.63],5.76 [4.57 - 6.81]
