Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,0.620 [0.497 - 0.736],0.647 [0.515 - 0.771],0.542 [0.248 - 0.834],0.703 [0.561 - 0.837],0.438 [0.190 - 0.690],0.652 [0.494 - 0.805],0.574 [0.365 - 0.759]
hybrid_*,0.634 [0.538 - 0.725],0.609 [0.505 - 0.708],0.707 [0.505 - 0.891],0.601 [0.487 - 0.712],0.635 [0.393 - 0.873],0.562 [0.437 - 0.691],0.736 [0.608 - 0.856]
raw-only_*,0.359 [0.251 - 0.469],0.474 [0.351 - 0.603],0.024 [0.000 - 0.069],0.441 [0.297 - 0.569],0.594 [0.314 - 0.818],0.404 [0.257 - 0.546],0.295 [0.148 - 0.469]
