Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,0.620 [0.497 - 0.736],0.647 [0.515 - 0.771],0.542 [0.248 - 0.834],0.703 [0.561 - 0.837],0.438 [0.190 - 0.690],0.652 [0.494 - 0.805],0.574 [0.365 - 0.759]
combined_*,0.402 [0.296 - 0.510],0.386 [0.264 - 0.510],0.448 [0.219 - 0.679],0.352 [0.233 - 0.498],0.514 [0.250 - 0.790],0.288 [0.162 - 0.417],0.564 [0.382 - 0.726]
embed-only_*,0.154 [0.086 - 0.238],0.085 [0.029 - 0.158],0.358 [0.165 - 0.558],0.069 [0.019 - 0.132],0.144 [0.017 - 0.360],0.134 [0.051 - 0.228],0.183 [0.063 - 0.320]
raw-only_*,0.222 [0.125 - 0.325],0.292 [0.186 - 0.422],0.020 [0.000 - 0.059],0.282 [0.161 - 0.418],0.328 [0.079 - 0.652],0.212 [0.112 - 0.327],0.238 [0.099 - 0.421]
