Architecture Paradigm,Overall,Classification,Regression,Binary,Multiclass,Small,Medium
tabpfn_baseline,2.92 [2.33 - 3.55],2.76 [2.13 - 3.45],3.38 [2.00 - 4.77],2.37 [1.73 - 3.07],4.25 [2.75 - 5.88],2.77 [2.00 - 3.57],3.14 [2.19 - 4.29]
combined_*,4.12 [3.45 - 4.76],4.16 [3.39 - 4.92],4.00 [2.85 - 5.23],4.30 [3.40 - 5.17],3.62 [2.25 - 5.00],4.77 [4.03 - 5.50],3.19 [2.19 - 4.38]
embed-only_*,6.22 [5.49 - 6.94],6.95 [6.16 - 7.68],4.08 [2.92 - 5.46],7.03 [6.20 - 7.80],6.62 [5.12 - 8.12],6.27 [5.27 - 7.23],6.14 [5.05 - 7.19]
raw-only_*,5.71 [4.94 - 6.47],5.05 [4.11 - 5.84],7.62 [6.46 - 8.54],5.13 [4.20 - 6.17],4.75 [2.75 - 6.62],5.67 [4.63 - 6.63],5.76 [4.57 - 6.81]
