dataset,dataset_raw_features_count,pca_n_components,feat_total_count,pca_percentage
polish_companies_bankruptcy,64,52,116,44.827586206896555
polish_companies_bankruptcy,64,52,116,44.827586206896555
qsar-biodeg,41,45,86,52.32558139534884
qsar-biodeg,41,45,86,52.32558139534884
qsar-biodeg,41,45,86,52.32558139534884
qsar-tid-11,1024,41,1065,3.8497652582159625
qsar-tid-11,1024,41,1065,3.8497652582159625
qsar-tid-11,1024,41,1065,3.8497652582159625
qsar_fish_toxicity,6,75,81,92.5925925925926
qsar_fish_toxicity,6,75,81,92.5925925925926
qsar_fish_toxicity,6,75,81,92.5925925925926
sdss17,11,21,32,65.625
sdss17,11,21,32,65.625
sdss17,11,21,32,65.625
seismic-bumps,15,25,40,62.5
seismic-bumps,15,25,40,62.5
seismic-bumps,15,25,40,62.5
splice,60,33,93,35.483870967741936
splice,60,33,93,35.483870967741936
splice,60,33,93,35.483870967741936
students_dropout_and_academic_success,36,29,65,44.61538461538462
students_dropout_and_academic_success,36,29,65,44.61538461538462
students_dropout_and_academic_success,36,29,65,44.61538461538462
superconductivity,81,70,151,46.35761589403973
superconductivity,81,70,151,46.35761589403973
superconductivity,81,70,151,46.35761589403973
taiwanese_bankruptcy_prediction,94,32,126,25.396825396825395
taiwanese_bankruptcy_prediction,94,32,126,25.396825396825395
taiwanese_bankruptcy_prediction,94,32,126,25.396825396825395
website_phishing,9,27,36,75.0
website_phishing,9,27,36,75.0
website_phishing,9,27,36,75.0
wine_quality,12,25,37,67.56756756756756
wine_quality,12,25,37,67.56756756756756
wine_quality,12,25,37,67.56756756756756
