dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,tabpfn_primary_score,eval_primary_delta_pct
airfoil_self_noise,regression,catboost,combined,1503,5,57,62,99.5643032651196,0.4356967348804296,RMSE,0.9296917662473796,0.8975385766269695,3.58237411268102
airfoil_self_noise,regression,lightgbm,combined,1503,5,57,62,93.67394000861626,6.326059991383743,RMSE,0.955547152839702,0.8975385766269695,6.463073312206136
airfoil_self_noise,regression,xgboost,combined,1503,5,57,62,99.17672524526108,0.8232747547389283,RMSE,0.935045059904032,0.8975385766269695,4.178815736033916
amazon_employee_access,binary,catboost,combined,32769,9,52,61,77.06455565402113,22.9354443459789,1-AUROC,0.1167312232275431,0.1468362300107891,-20.50243783910413
amazon_employee_access,binary,lightgbm,combined,32769,9,52,61,13.429927719440403,86.57007228055959,1-AUROC,0.1438603612746092,0.1468362300107891,-2.0266583635123863
amazon_employee_access,binary,xgboost,combined,32769,9,52,61,45.63655077780366,54.36344922219633,1-AUROC,0.2278318182303739,0.1468362300107891,55.16049289309144
anneal,multiclass,catboost,combined,890,38,32,70,76.6701636063047,23.32983639369528,Log_Loss,0.0038829505787166,0.0043537343105701,-10.81333168885677
anneal,multiclass,lightgbm,combined,890,38,32,70,52.391724033871576,47.60827596612842,Log_Loss,0.0005144477509111,0.0043537343105701,-88.18375871806894
anneal,multiclass,xgboost,combined,890,38,32,70,61.21935498229861,38.78064501770139,Log_Loss,0.0027889150660485,0.0043537343105701,-35.942001346350935
another-dataset-on-used-fiat-500,regression,catboost,combined,1538,7,54,61,72.79586425165077,27.20413574834924,RMSE,742.1677482979692,727.5813856404222,2.00477402877864
another-dataset-on-used-fiat-500,regression,lightgbm,combined,1538,7,54,61,54.74253883133965,45.25746116866035,RMSE,752.7460609542617,727.5813856404222,3.4586749758158417
