number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.5861046354421112,2026-06-25 08:47:52.033968,2026-06-25 08:47:54.975550,0 days 00:00:02.941582,,,,,,,,,,,,,,31,{},COMPLETE
1,0.5698637109428366,2026-06-25 08:47:54.995891,2026-06-25 08:48:04.892942,0 days 00:00:09.897051,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,247,,COMPLETE
2,0.565264218939317,2026-06-25 08:48:04.905620,2026-06-25 08:48:12.797390,0 days 00:00:07.891770,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,973,,COMPLETE
3,0.6341594548691569,2026-06-25 08:48:12.811310,2026-06-25 08:48:15.535817,0 days 00:00:02.724507,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.6050558828379471,2026-06-25 08:48:15.544832,2026-06-25 08:48:18.027703,0 days 00:00:02.482871,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.5891328363204571,2026-06-25 08:48:18.036770,2026-06-25 08:48:29.647521,0 days 00:00:11.610751,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,28,,COMPLETE
6,0.5851583076627481,2026-06-25 08:48:29.657521,2026-06-25 08:48:32.256796,0 days 00:00:02.599275,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.5617383818651587,2026-06-25 08:48:32.265639,2026-06-25 08:48:46.681246,0 days 00:00:14.415607,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,606,,COMPLETE
8,0.5789905931498934,2026-06-25 08:48:46.693969,2026-06-25 08:48:56.315893,0 days 00:00:09.621924,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,70,,COMPLETE
9,0.563793631044266,2026-06-25 08:48:56.324694,2026-06-25 08:49:00.257254,0 days 00:00:03.932560,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,120,,COMPLETE
10,0.5651909613034727,2026-06-25 08:49:00.265951,2026-06-25 08:49:10.536420,0 days 00:00:10.270469,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,0.560810390919974,2026-06-25 08:49:10.546599,2026-06-25 08:49:14.620806,0 days 00:00:04.074207,0.7494110184930092,1.0,0.6646745230859595,0.5200105656740905,True,0.6109555747170158,0.7561101271802751,0.9437374915354393,0.08435621740171995,30.0,2.0,5.0,42.0,120,,COMPLETE
12,0.5619967830525794,2026-06-25 08:49:14.633964,2026-06-25 08:49:19.119040,0 days 00:00:04.485076,0.7025152260406509,1.0,0.4106232633100717,0.22712937948801454,True,0.6477184395873087,0.6869218470911971,0.7264397755151069,0.040851082831757854,26.0,2.0,8.0,22.0,204,,COMPLETE
13,0.562454858167286,2026-06-25 08:49:19.127631,2026-06-25 08:49:25.207206,0 days 00:00:06.079575,0.7888707633703247,1.0,0.3291749957500556,0.29663605169731416,True,0.4178486447450408,0.5437413887257647,0.48069625216057454,0.04451506475158212,97.0,3.0,12.0,50.0,247,,COMPLETE
14,0.5619183431407986,2026-06-25 08:49:25.215918,2026-06-25 08:50:08.427872,0 days 00:00:43.211954,0.9948058470333414,1.0,0.7127251983201386,1.0109752183140321,True,0.6011474655791341,0.17045177131759753,1.0867890936644597,0.005167342748846679,29.0,1.0,4.0,181.0,1000,,COMPLETE
15,0.5646177781766384,2026-06-25 08:50:08.437236,2026-06-25 08:50:10.060330,0 days 00:00:01.623094,0.703953764314277,1.0,0.1265290148817882,0.05871486388786223,True,0.7789514508986711,0.7191765232002554,1.9591343319554362,0.09681270424089208,65.0,4.0,13.0,6.0,155,,COMPLETE
16,0.5587051655599216,2026-06-25 08:50:10.068927,2026-06-25 08:50:16.697070,0 days 00:00:06.628143,0.7613070890086187,1.0,0.27341073703641505,0.005196138562006058,True,0.5713818485735501,0.28488098106227316,0.2921887530398119,0.027556878263997272,62.0,2.0,4.0,26.0,288,,COMPLETE
