number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.7391418476413042,2026-06-25 04:44:07.108874,2026-06-25 04:44:08.385484,0 days 00:00:01.276610,,,,,,,,,,,,,,29,{},COMPLETE
1,0.7324619711542446,2026-06-25 04:44:08.399396,2026-06-25 04:44:13.379996,0 days 00:00:04.980600,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,343,,COMPLETE
2,0.7356928300812859,2026-06-25 04:44:13.392341,2026-06-25 04:44:16.493670,0 days 00:00:03.101329,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,988,,COMPLETE
3,0.7558423537952368,2026-06-25 04:44:16.502301,2026-06-25 04:44:17.668539,0 days 00:00:01.166238,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.7503220775779613,2026-06-25 04:44:17.677243,2026-06-25 04:44:18.766071,0 days 00:00:01.088828,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.750283781158794,2026-06-25 04:44:18.774562,2026-06-25 04:44:25.378009,0 days 00:00:06.603447,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,44,,COMPLETE
6,0.7462482048106993,2026-06-25 04:44:25.387276,2026-06-25 04:44:26.674685,0 days 00:00:01.287409,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,996,,COMPLETE
7,0.7343609157999781,2026-06-25 04:44:26.689536,2026-06-25 04:44:32.154188,0 days 00:00:05.464652,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,561,,COMPLETE
8,0.7333655843325737,2026-06-25 04:44:32.164594,2026-06-25 04:44:36.822447,0 days 00:00:04.657853,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,101,,COMPLETE
9,0.744928163531072,2026-06-25 04:44:36.833010,2026-06-25 04:44:38.961963,0 days 00:00:02.128953,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,72,,COMPLETE
10,0.7319218245983143,2026-06-25 04:44:38.970352,2026-06-25 04:44:43.912032,0 days 00:00:04.941680,0.7022641957948879,1.0,0.06432414175835927,57.71736365719864,False,0.7311216826067799,0.6782859743712771,1.891624858975429,0.00556850707848256,8.0,18.0,85.0,12.0,968,,COMPLETE
11,0.7318017469820426,2026-06-25 04:44:43.924844,2026-06-25 04:44:49.330807,0 days 00:00:05.405963,0.7118268878863319,1.0,0.0900656820801867,58.802113625280164,False,0.7503136264429127,0.6999711291225518,1.9017437929613048,0.005765404648902169,8.0,21.0,86.0,14.0,989,,COMPLETE
12,0.7336723837617594,2026-06-25 04:44:49.343140,2026-06-25 04:44:53.124933,0 days 00:00:03.781793,0.7010452287705675,1.0,0.036254083532768565,56.535060811916374,False,0.6953406910920533,0.6882606889990044,1.9975624998335386,0.005256492743841559,8.0,14.0,38.0,8.0,997,,COMPLETE
13,0.732043424911847,2026-06-25 04:44:53.133275,2026-06-25 04:44:57.538799,0 days 00:00:04.405524,0.704603960994222,1.0,0.035165477433459026,55.303690883215694,False,0.7682706480193535,0.6618040375958354,1.938542777112231,0.0052007496586138,13.0,23.0,93.0,10.0,999,,COMPLETE
14,0.7316803442124262,2026-06-25 04:44:57.547450,2026-06-25 04:45:02.366161,0 days 00:00:04.818711,0.7621453436530881,1.0,0.10101821423253665,89.74636489511579,False,0.6109129948799271,0.5813823908436692,1.1539406528619667,0.008306519203215866,11.0,26.0,29.0,15.0,757,,COMPLETE
15,0.7340728023735876,2026-06-25 04:45:02.381291,2026-06-25 04:45:07.550398,0 days 00:00:05.169107,0.7774448004832161,1.0,0.21464849068358735,98.95797983216401,True,0.611855640496008,0.5598845278403527,1.0616778885588114,0.009025216827688923,23.0,32.0,25.0,19.0,930,,COMPLETE
16,0.7352803893382717,2026-06-25 04:45:07.559353,2026-06-25 04:45:10.163938,0 days 00:00:02.604585,0.7613070890086187,1.0,0.01944161482081604,13.933707104442634,False,0.616407518203334,0.16525432546667912,0.9536764132838853,0.008549648602939908,12.0,9.0,16.0,5.0,996,,COMPLETE
17,0.7358292359556333,2026-06-25 04:45:10.174186,2026-06-25 04:45:12.431663,0 days 00:00:02.257477,0.7986314753630362,1.0,0.11126585552978603,0.39275971610008603,False,0.821192675406309,0.5333524401889137,0.637553317732714,0.00712335306916074,11.0,64.0,39.0,4.0,999,,COMPLETE
